Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
08:25 PM,CONVENIENCE FOODS LANKA PLC,SOY.N0000,999,33,683,682430.25,-1.5,-0.15
08:38 PM,CEYLON TOBACCO COMPANY PLC,CTC.N0000,1000,18,600,600130.25,-0.25,-0.03
08:58 PM,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.3,10,133248,40979.2,0,0
06:01 PM,JOHN KEELLS PLC,JKL.N0000,72,2,14,968,0,0
08:36 PM,THE AUTODROME PLC,AUTO.N0000,115,1,200,23000,0,0
06:55 PM,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,1020.25,11,66,67486.5,0,0
08:58 PM,PEGASUS HOTELS OF CEYLON PLC,PEG.R0000,4.1,98,95029,399320.4,0,0
08:58 PM,SMB FINANCE PLC,SEMB.X0000,0.3,42,9405384,2821619.8,0,0
08:36 PM,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,17.1,24,3960,67556,0,0
08:59 PM,OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,16.6,23,14126,232338.7,0,0
04:58 PM,KOTMALE HOLDINGS PLC,LAMB.N0000,414.75,2,11,4562.25,0,0
08:53 PM,SERENDIB HOTELS PLC,SHOT.X0000,9.2,18,57850,519435.2,0,0
08:54 PM,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,59.6,2,8,476.8,0,0
08:33 PM,CEYLON HOSPITALS PLC,CHL.X0000,105,6,3540,371710.75,0,0
06:15 PM,DOLPHIN HOTELS PLC,STAF.N0000,33.1,9,6800,231580,0,0
08:46 PM,SATHOSA MOTORS PLC,SMOT.N0000,197.75,2,7,1395.5,0,0
04:42 PM,TRANS ASIA HOTELS PLC,TRAN.N0000,48,2,100,4800,0,0
07:47 PM,C T LAND DEVELOPMENT PLC,CTLD.N0000,23.5,3,80,1880,0,0
08:40 PM,PMF FINANCE PLC,PMB.N0000,5.5,10,26790,142219.5,0,0
08:49 PM,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,7,34,143652,1005637.7,0,0
05:37 PM,TANGERINE BEACH HOTELS PLC,TANG.N0000,58.9,2,20,1179,0,0
05:44 PM,KELSEY DEVELOPMENTS PLC,KDL.N0000,24,3,1977,47366,0,0
08:11 PM,TESS AGRO PLC,TESS.N0000,1.1,29,236955,236789,0,0
07:16 PM,KAHAWATTE PLANTATIONS PLC,KAHA.N0000,20,7,1465,29448.5,0,0
08:58 PM,E B CREASY & COMPANY PLC,EBCR.N0000,23.5,30,18765,436865,0,0
08:59 PM,CITRUS LEISURE PLC,REEF.N0000,6.9,11,17511,118601.2,0,0
08:50 PM,JOHN KEELLS HOTELS PLC,KHL.N0000,23,50,91633,2099850.6,0,0
08:57 PM,SWISSTEK (CEYLON) PLC,PARQ.N0000,16.5,53,152950,2523468.2,0,0
08:49 PM,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.5,29,912601,380920.4,0,0
08:59 PM,KOTAGALA PLANTATIONS PLC,KOTA.N0000,7.2,179,795768,5684890.2,0,0
05:07 PM,HARISCHANDRA MILLS PLC,HARI.N0000,4449.75,2,3,13349.75,0,0
04:33 PM,ABANS ELECTRICALS PLC,ABAN.N0000,155,1,1,155,0,0
05:14 PM,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,212,1,10,2120,0,0
07:28 PM,NATION LANKA FINANCE PLC,CSF.N0000,0.5,17,123415,69257.5,0,0
05:03 PM,KEELLS FOOD PRODUCTS PLC,KFP.N0000,183,4,30,5490,0,0
08:19 PM,THE KINGSBURY PLC,SERV.N0000,10.2,51,1249114,12862607.1,0,0
06:55 PM,LANKA CERAMIC PLC,CERA.N0000,105,1,5,525,0,0
08:59 PM,AMBEON CAPITAL PLC,TAP.N0000,9.7,97,322717,3073130.8,0,0
08:58 PM,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,56,129,883536,49473188.8,0,0
07:21 PM,THE FORTRESS RESORTS PLC,RHTL.N0000,19,6,1503,28657.4,0,0
08:56 PM,RENUKA HOLDINGS PLC,RHL.X0000,12,3,10308,123696,0,0
08:58 PM,RENUKA AGRI FOODS PLC,RAL.N0000,4.9,59,203055,981621.7,0,0
08:45 PM,CEYLON TEA BROKERS PLC,CTBL.N0000,4.7,40,30511,143862.9,0,0
07:47 PM,TESS AGRO PLC,TESS.X0000,0.8,9,23744,19004.2,0,0
08:59 PM,AMANA BANK PLC,ABL.N0000,2.4,32,629173,1531097.3,0,0
08:39 PM,SINGHE HOSPITALS PLC,SINH.N0000,2.4,11,7280,17632,0,0
08:56 PM,ARPICO INSURANCE PLC,AINS.N0000,23.5,5,3731,86788.5,0,0
08:34 PM,HIKKADUWA BEACH RESORT PLC,CITH.N0000,5.3,9,19190,97871,0,0
08:55 PM,HNB FINANCE PLC,HNBF.N0000,5.7,27,152048,879404.9,0,0
08:50 PM,Co-operative Insurance Company PLC,COOP.N0000,3.2,46,216878,693929.7,0,0
08:52 PM,NATIONS TRUST BANK PLC,NTB.X0000,116,6,76,8811.5,0,0
05:40 PM,LAUGFS POWER PLC,LPL.N0000,8.4,15,4250,36025,0,0
08:58 PM,WINDFORCE PLC,WIND.N0000,18.2,36,35430,642635.2,0,0
08:58 PM,PRIME LANDS RESIDENCIES PLC,PLR.N0000,8.3,81,212923,1763920.4,0,0
08:41 PM,LOLC GENERAL INSURANCE PLC,LGIL.N0000,6.6,12,21795,144847,0,0
07:05 PM,EXTERMINATORS PLC,EXT.N0000,8,12,1019,8174,0,0
07:59 PM,ALPHA FIRE SERVICES PLC,AFS.N0000,41,1,1,41,0,0
08:56 PM,E M L CONSULTANTS PLC,EML.N0000,4.1,53,196248,807297.9,0,0
08:43 PM,LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,2.6,64,316979,758255.3,0,0
08:54 PM,UB FINANCE COMPANY LIMITED,UBF.N0000,1.2,102,1204292,1453801,0,0
08:57 PM,LION BREWERY (CEYLON) PLC,LION.N0000,705,8,9982,7038537.75,1,0.14
08:57 PM,UNITED MOTORS LANKA PLC,UML.N0000,73.5,32,4793,351895.3,0.2,0.27
08:58 PM,ROYAL CERAMICS LANKA PLC,RCL.N0000,29.5,237,298339,8790324.8,0.1,0.34
08:59 PM,C M HOLDINGS PLC,COLO.N0000,86.4,30,5105,433398.4,0.3,0.35
08:57 PM,HNB ASSURANCE PLC,HASU.N0000,55.8,37,102544,5656871.2,0.2,0.36
08:54 PM,LANKEM DEVELOPMENTS PLC,LDEV.N0000,25.6,228,305184,7958671.7,0.1,0.38
08:59 PM,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,25,225,2837049,71305291.6,0.1,0.4
08:59 PM,LAUGFS GAS PLC,LGL.X0000,23.9,17,3698,86347.2,0.1,0.43
08:59 PM,LANKA WALLTILE PLC,LWL.N0000,46.8,86,62758,2920677.6,0.2,0.43
08:28 PM,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,23,115,268855,6165081.2,0.1,0.44
08:55 PM,SRI LANKA TELECOM PLC,SLTL.N0000,88.6,141,66255,5890429.3,0.4,0.45
08:59 PM,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,20.9,45,60218,1274936.9,0.1,0.48
04:46 PM,LANKA VENTURES PLC,LVEN.N0000,39.2,5,202,7924,0.2,0.51
08:58 PM,EXPOLANKA HOLDINGS PLC,EXPO.N0000,146,265,1287181,187464229.3,0.75,0.52
08:59 PM,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,77.5,28,16227,1256406,0.4,0.52
08:54 PM,CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,92.8,74,138463,12713990.9,0.5,0.55
08:59 PM,HATTON NATIONAL BANK PLC,HNB.N0000,183.5,221,1176500,215240274.5,1,0.55
05:32 PM,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,228.5,5,115,25878.5,1.25,0.56
07:49 PM,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,68.5,6,255,17467.3,0.4,0.59
08:48 PM,ODEL PLC,ODEL.N0000,15.7,14,8771,136599.6,0.1,0.65
08:58 PM,HATTON NATIONAL BANK PLC,HNB.X0000,152.25,116,125263,19076233,1,0.66
08:59 PM,First Capital Treasuries PLC,FCT.N0000,44.1,511,1956542,86389370.6,0.3,0.68
08:35 PM,KELANI TYRES PLC,TYRE.N0000,68.8,27,10232,701679.9,0.5,0.73
08:57 PM,HAYLEYS PLC,HAYL.N0000,89.2,218,318108,28212256.1,0.7,0.79
08:55 PM,SERENDIB HOTELS PLC,SHOT.N0000,11.8,8,2564,30797.7,0.1,0.85
08:51 PM,HAYLEYS LEISURE PLC,CONN.N0000,23.4,18,5079,116223.8,0.2,0.87
08:59 PM,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,78.5,8,1290,101335,0.7,0.9
08:47 PM,MADULSIMA PLANTATIONS PLC,MADU.N0000,11,21,19462,217650.6,0.1,0.91
08:59 PM,SUNSHINE HOLDINGS PLC,SUN.N0000,51.5,97,282584,14525459.2,0.5,0.98
08:58 PM,HEMAS HOLDINGS PLC,HHL.N0000,80,129,290823,23165741.7,0.8,1.01
08:36 PM,CEYLINCO INSURANCE PLC,CINS.X0000,900,5,104,93529,9.25,1.04
08:54 PM,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,47.9,37,16549,792293.5,0.5,1.05
08:59 PM,SAMPATH BANK PLC,SAMP.N0000,74.7,506,1637278,120466321.4,0.8,1.1
08:54 PM,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,114,19,4140,471897.5,1.25,1.11
08:38 PM,JANASHAKTHI INSURANCE PLC,JINS.N0000,36.7,27,29505,1056354.5,0.4,1.11
08:59 PM,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,35.7,129,260182,9410116.4,0.4,1.12
08:58 PM,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,26.8,68,94461,2520631.2,0.3,1.14
08:54 PM,CENTRAL INDUSTRIES PLC,CIND.N0000,100.5,42,65434,6555153.25,1.15,1.16
08:40 PM,PALM GARDEN HOTELS PLC,PALM.N0000,42.5,20,4117,173392.5,0.5,1.19
08:29 PM,UNION ASSURANCE PLC,UAL.N0000,39,13,62440,2434250,0.5,1.3
08:15 PM,SINGER (SRI LANKA) PLC,SINS.N0000,15.5,36,177245,2787450.8,0.2,1.3
08:57 PM,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,30.4,123,366346,9779645.3,0.4,1.33
08:09 PM,SINGER FINANCE LANKA PLC,SFIN.N0000,14,12,20781,284692.2,0.2,1.48
08:59 PM,TEEJAY LANKA PLC,TJL.N0000,34,219,7481140,248055516.3,0.5,1.52
08:55 PM,DIPPED PRODUCTS PLC,DIPD.N0000,32.4,120,206065,6720675.2,0.5,1.57
08:45 PM,hSenid Business Solutions PLC,HBS.N0000,12.6,88,9158100,118985432.6,0.2,1.63
06:44 PM,HOTEL SIGIRIYA PLC,HSIG.N0000,43.5,16,7171,303899.3,0.7,1.64
08:59 PM,BROWNS INVESTMENTS PLC,BIL.N0000,6.3,460,7619721,47497554.6,0.1,1.64
08:59 PM,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,79.9,356,305363,24050344.5,1.3,1.67
08:59 PM,NATIONS TRUST BANK PLC,NTB.N0000,121.5,339,768837,91146144,2,1.71
08:57 PM,C I C HOLDINGS PLC,CIC.N0000,71,61,55547,3934196.5,1.2,1.71
09:15 PM,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,77,292,193013,14279296.8,1.3,1.73
08:59 PM,LOLC FINANCE PLC,LOFC.N0000,5.6,377,4300486,24226608.1,0.1,1.79
07:37 PM,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,11.5,6,375,4225,0.2,1.8
08:56 PM,BROWN & COMPANY PLC,BRWN.N0000,127,60,26717,3340809.75,2.25,1.82
08:37 PM,RENUKA CITY HOTELS PLC.,RENU.N0000,380,5,1238,471840,7,1.84
08:59 PM,UNION BANK OF COLOMBO PLC,UBC.N0000,10.5,138,3095345,32177746.1,0.2,1.94
08:58 PM,SHAW WALLACE INVESTMENTS PLC,KZOO.N0000,9.4,103,412669,3854271,0.2,2.17
07:16 PM,MAHAWELI REACH HOTELS PLC,MRH.N0000,14,7,211,2952.5,0.3,2.19
08:59 PM,THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,101.5,32,13858,1405616.5,2.25,2.22
08:41 PM,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13.3,7,2680,35679,0.3,2.31
08:54 PM,C I C HOLDINGS PLC,CIC.X0000,56.9,76,176618,9946591.7,1.3,2.34
08:52 PM,EASTERN MERCHANTS PLC,EMER.N0000,8.5,11,14030,119275,0.2,2.41
08:56 PM,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.2,29,192692,816795.9,0.1,2.44
08:57 PM,ASIA CAPITAL PLC,ACAP.N0000,4.1,5,4966,20006.6,0.1,2.5
08:59 PM,VALLIBEL FINANCE PLC,VFIN.N0000,36.7,89,131082,4822667,0.9,2.51
08:59 PM,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,133,265,234751,30751605.75,3.25,2.51
06:31 PM,RAMBODA FALLS PLC,RFL.N0000,29,2,501,14279,0.7,2.52
09:00 PM,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,19.6,502,1974553,38745330.7,0.5,2.6
08:18 PM,ORIENT FINANCE PLC,BFN.N0000,7.5,4,838,6281,0.2,2.74
08:55 PM,HAYLEYS FIBRE PLC,HEXP.N0000,61.5,26,3991,244230.7,1.7,2.83
08:54 PM,LB FINANCE PLC,LFIN.N0000,70,149,791710,55436810.2,2,2.94
08:59 PM,LANKA REALTY INVESTMENTS PLC,ASCO.N0000,13.9,32,82192,1120046.2,0.4,2.96
08:56 PM,ACCESS ENGINEERING PLC,AEL.N0000,17.6,102,338327,5814272.1,0.5,2.98
08:59 PM,R I L PROPERTY PLC,RIL.N0000,6.9,123,1486431,10125177.5,0.2,2.99
08:54 PM,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,83,162,182407,14266236.6,2.4,2.99
08:59 PM,L O L C HOLDINGS PLC,LOLC.N0000,474.75,149,25095,11663829.5,13.75,3.01
06:57 PM,ACME PRINTING & PACKAGING PLC,ACME.N0000,6.7,8,4644,30386,0.2,3.08
08:59 PM,LANKA MILK FOODS (CWE) PLC,LMF.N0000,166.75,34,43047,7104347.75,5,3.09
07:46 PM,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,29.9,3,100,2990,0.9,3.1
08:52 PM,CARGILLS (CEYLON) PLC,CARG.N0000,325,22,4470,1451680.5,10,3.17
08:56 PM,LEE HEDGES PLC,SHAW.N0000,81.9,37,23054,1882371,2.6,3.27
08:58 PM,PGP GLASS CEYLON PLC,GLAS.N0000,25,119,1719553,42152470.4,0.8,3.31
08:59 PM,SOFTLOGIC CAPITAL PLC,SCAP.N0000,12.5,758,9419709,115451171.3,0.4,3.31
08:59 PM,CEYLON INVESTMENT PLC,CINV.N0000,53,101,54436,2872575.4,1.7,3.31
08:26 PM,WASKADUWA BEACH RESORT PLC,CITW.N0000,3,22,50413,148728.1,0.1,3.45
08:53 PM,DIALOG AXIATA PLC,DIAL.N0000,11.8,134,15412283,181824523.5,0.4,3.51
08:58 PM,PRINTCARE PLC,CARE.N0000,52,49,87412,4484448.8,1.8,3.59
08:47 PM,SAMSON INTERNATIONAL PLC,SIL.N0000,164,28,1204,196057.5,5.75,3.65
08:59 PM,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,90.9,202,74057,6612198.3,3.3,3.8
07:59 PM,SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,13.2,8,502,6618.7,0.5,3.94
08:59 PM,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,96.7,434,1959053,186623191,3.7,3.98
08:02 PM,ASIA ASSET FINANCE PLC,AAF.N0000,13,12,49159,638068,0.5,4
07:53 PM,RENUKA FOODS PLC,COCO.N0000,20.5,11,4686,93846.4,0.8,4.06
08:20 PM,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,48,8,1464,70236.3,1.9,4.12
08:59 PM,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.5,595,7656056,95384878.8,0.5,4.17
08:34 PM,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,85,18,6420,536811.6,3.4,4.17
08:41 PM,REGNIS (LANKA) PLC,REG.N0000,55,38,5592,306102.5,2.2,4.19
08:38 PM,YORK ARCADE HOLDINGS PLC,YORK.N0000,170,12,329,53109.75,6.5,4.19
08:59 PM,JOHN KEELLS HOLDINGS PLC,JKH.N0000,193.5,628,2871028,542937905.3,7.75,4.22
08:58 PM,SEYLAN BANK PLC,SEYB.X0000,44,278,762614,33029032.6,1.8,4.3
07:04 PM,RENUKA HOLDINGS PLC,RHL.N0000,15.8,14,14501,227415.8,0.7,4.64
08:59 PM,HAYLEYS FABRIC PLC,MGT.N0000,38,463,1059869,39654552.5,1.7,4.68
08:48 PM,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,48.6,16,1330,64191.5,2.2,4.78
08:58 PM,JAT HOLDINGS PLC,JAT.N0000,17.5,59,179055,3108710.5,0.8,4.79
08:59 PM,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.4,17,21332,223727.5,0.5,5
