,node,stock_market_value(million),rdm_node
380,000932.SZ,14949.1662423,1221
381,000933.SZ,17901.939915,973
382,000935.SZ,2922.6015,753
383,000936.SZ,11439.5941017,269
384,000937.SZ,23010.8659055,411
385,000938.SZ,18647.6872059,1283
386,000939.SZ,13789.2684621,570
387,000948.SZ,8603.5330812,542
388,000949.SZ,7017.56102894,1220
389,000950.SZ,5646.67678605,999
390,000951.SZ,12087.84291,662
391,000952.SZ,3850.7010318,541
392,000953.SZ,3634.3960764,266
393,000955.SZ,4630.197,1478
394,000957.SZ,5754.74731573,141
395,000958.SZ,7727.2952898,375
396,000960.SZ,23197.0394961,444
397,000961.SZ,23242.3841898,1128
398,000962.SZ,6524.2918736,893
399,000963.SZ,27600.9195977,1552
400,000965.SZ,10936.8790095,1249
401,000966.SZ,10966.4709716,105
402,000967.SZ,6136.75065168,842
403,000968.SZ,6437.24991,721
404,000969.SZ,12384.8586053,1429
405,000970.SZ,21953.772,1020
406,000971.SZ,5790.4938,282
407,000972.SZ,11337.8686113,572
408,000973.SZ,9268.812552,1480
409,000975.SZ,9703.97311342,1190
410,000976.SZ,6915.54112668,703
411,000977.SZ,28359.8959716,1608
412,000978.SZ,5473.52,1207
413,000979.SZ,18556.1210998,479
414,000980.SZ,5117.6766,435
415,000981.SZ,21795.87208,722
416,000983.SZ,29873.1219265,1182
417,000985.SZ,3336.92073,1058
418,000987.SZ,10377.5477937,650
419,000988.SZ,15870.7872159,758
420,000989.SZ,8898.3975132,1424
421,000993.SZ,4837.81,832
422,000997.SZ,24329.7143124,142
423,000998.SZ,22536.36,88
424,000999.SZ,29713.5742137,1004
425,001696.SZ,15966.4146579,708
426,001896.SZ,8599.85,1367
427,002001.SZ,18338.0785471,786
428,002002.SZ,13876.3103793,104
429,002003.SZ,5215.46999711,1067
430,002004.SZ,16071.4639283,1387
431,002005.SZ,13380.5515281,669
432,002006.SZ,5079.73830462,927
433,002007.SZ,22162.0684802,244
434,002008.SZ,28180.2617372,125
435,002009.SZ,6438.02509492,1086
436,002010.SZ,6638.35615152,518
437,002011.SZ,12168.9397519,815
438,002012.SZ,6206.56157564,1056
439,002013.SZ,10602.9289587,1215
440,002014.SZ,7828.6864271,560
441,002016.SZ,9090.56554224,139
442,002017.SZ,7393.15069246,900
443,002018.SZ,15658.5175213,960
444,002019.SZ,6284.2538171,16
445,002021.SZ,7052.2627968,65
446,002022.SZ,16215.7503517,67
447,002023.SZ,12365.9227884,971
448,002024.SZ,75592.9261125,439
449,002025.SZ,11234.1675764,1395
450,002026.SZ,4497.5049877,181
451,002028.SZ,8732.244308,534
452,002029.SZ,15863.130528,258
453,002030.SZ,28198.3428806,569
454,002031.SZ,9111.92703084,1348
455,002032.SZ,11479.4735957,1273
456,002033.SZ,6534.71261998,459
457,002034.SZ,2432.74788,212
458,002035.SZ,4507.7781034,906
459,002036.SZ,5421.9603126,1012
460,002037.SZ,11019.2122656,1050
461,002038.SZ,21428.0156249,1377
462,002039.SZ,6315.1385594,1547
463,002040.SZ,4521.58608,1318
464,002041.SZ,15458.6213097,613
465,002042.SZ,11324.8047388,171
466,002043.SZ,5458.5619538,1112
467,002044.SZ,13117.5187381,1380
468,002045.SZ,4520.64091025,706
469,002046.SZ,4774.7348994,851
470,002047.SZ,8721.78971202,149
471,002048.SZ,9571.54957605,512
472,002049.SZ,23088.7368,985
473,002050.SZ,17435.3688016,878
474,002051.SZ,22767.8405965,1591
475,002052.SZ,7744.78699173,1256
476,002053.SZ,5335.78516713,344
477,002054.SZ,3592.84076266,46
478,002055.SZ,23324.2505327,783
479,002056.SZ,12850.2967972,1368
480,002058.SZ,3015.87455115,239
481,002059.SZ,5663.91315604,938
482,002060.SZ,7465.19549238,201
483,002061.SZ,7695.07863394,1169
484,002062.SZ,7662.50233308,1440
485,002063.SZ,12146.4923456,754
486,002064.SZ,12093.8854666,1516
487,002065.SZ,38467.4740962,1224
488,002066.SZ,5451.6,338
489,002067.SZ,8884.8655,1642
490,002068.SZ,5961.32768772,1410
491,002069.SZ,12615.0259105,739
492,002070.SZ,7503.37607916,1458
493,002071.SZ,6624.0579556,550
494,002072.SZ,3608.0,235
495,002073.SZ,14388.6578913,970
496,002074.SZ,5539.74493737,716
497,002075.SZ,52016.738466,903
498,002076.SZ,3488.72558884,185
499,002077.SZ,4593.96,472
500,002078.SZ,11623.0089718,1149
501,002079.SZ,7900.48702278,224
502,002081.SZ,47328.2717644,1089
503,002082.SZ,2766.25305917,1340
504,002083.SZ,7408.25865779,608
505,002084.SZ,5254.7925446,1501
506,002085.SZ,23052.5866606,302
507,002086.SZ,5614.661046,264
508,002087.SZ,4411.55608137,748
509,002088.SZ,3360.36439972,719
510,002089.SZ,11159.4629451,24
511,002090.SZ,5645.623034,685
512,002091.SZ,9158.30004199,1355
513,002092.SZ,12660.7862765,1113
514,002093.SZ,13646.597728,183
515,002094.SZ,6214.7616822,1403
516,002095.SZ,16059.3801776,494
517,002096.SZ,8681.00058,975
518,002097.SZ,5964.85837561,49
519,002098.SZ,4541.5,69
520,002099.SZ,8329.60602828,371
521,002100.SZ,8972.36268462,920
522,002101.SZ,5773.780359,1590
523,002102.SZ,3505.19877048,1314
524,002103.SZ,5403.49899484,360
525,002104.SZ,13509.2119816,158
526,002105.SZ,3979.8,488
527,002107.SZ,5065.70270874,8
528,002108.SZ,8695.97930418,597
529,002109.SZ,3060.736,1305
530,002111.SZ,8526.8735475,726
531,002112.SZ,3081.49856658,1051
532,002113.SZ,3247.63651264,297
533,002114.SZ,1713.0019575,972
534,002115.SZ,5118.16043179,680
535,002116.SZ,7992.83506531,1375
536,002117.SZ,12130.1052609,1197
537,002118.SZ,8869.2648018,876
538,002119.SZ,4676.336,123
539,002120.SZ,2355.2162415,310
540,002121.SZ,8064.61406751,1003
541,002122.SZ,11426.7223814,874
542,002123.SZ,10122.7333975,1537
543,002124.SZ,2979.0253,1253
544,002125.SZ,2807.65583088,331
545,002126.SZ,5980.77105696,773
546,002128.SZ,21863.7138557,1425
547,002129.SZ,30839.4675429,522
548,002130.SZ,7734.43166616,942
549,002131.SZ,12095.9266494,215
550,002132.SZ,5327.38257938,1258
551,002133.SZ,4954.10563572,547
552,002134.SZ,3228.00745384,841
553,002135.SZ,8188.5733026,102
554,002136.SZ,2969.1006432,446
555,002138.SZ,11083.4836635,1550
556,002139.SZ,3781.90351421,425
557,002140.SZ,9778.43217936,34
558,002141.SZ,4243.44704,237
559,002142.SZ,60808.7096181,1015
560,002143.SZ,3697.353462,122
561,002144.SZ,4950.2273182,1261
562,002145.SZ,3594.38271936,324
563,002146.SZ,41951.2579,1545
564,002147.SZ,3067.65441839,589
565,002148.SZ,4625.89229265,837
566,002149.SZ,4969.9698,1160
567,002150.SZ,3509.6976,865
568,002151.SZ,6845.89476915,675
569,002152.SZ,27912.6041317,1267
570,002153.SZ,21195.3316145,592
571,002154.SZ,9983.01933282,1530
572,002155.SZ,12380.9386906,1409
573,002156.SZ,12126.5129952,1376
574,002157.SZ,6894.17588685,1540
575,002158.SZ,6332.88348,1627
576,002159.SZ,3742.65389755,1337
577,002160.SZ,4341.1888625,56
578,002161.SZ,15143.0867469,364
579,002165.SZ,5385.55583214,695
580,002166.SZ,4124.2640267,1235
581,002167.SZ,5672.59108218,287
582,002168.SZ,11528.8339338,399
583,002169.SZ,6624.5398224,1072
584,002170.SZ,15071.9469381,1055
585,002171.SZ,7144.07481864,333
586,002172.SZ,5805.5362416,1189
587,002173.SZ,1260.9014052,460
