Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
PRIME LANDS RESIDENCIES PLC,PLR.N0000,8.4,208,1167076,10008145.7
CENTRAL INDUSTRIES PLC,CIND.N0000,100,207,470375,45519072.55
LANKA WALLTILE PLC,LWL.N0000,45.3,205,137174,6241853.7
HATTON NATIONAL BANK PLC,HNB.N0000,182.75,199,799494,146888288
KOTAGALA PLANTATIONS PLC,KOTA.N0000,7.1,194,977153,6888866.6
UNION BANK OF COLOMBO PLC,UBC.N0000,11,187,1195781,12915213.6
ORIENT FINANCE PLC,BFN.N0000,8.5,167,962870,7602514.3
RENUKA AGRI FOODS PLC,RAL.N0000,4.9,166,661611,3137975.2
PGP GLASS CEYLON PLC,GLAS.N0000,25.9,164,359724,9222676.9
WATAWALA PLANTATIONS PLC,WATA.N0000,74.3,160,197967,14601573.9
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,76.2,158,90425,6768996.1
ACCESS ENGINEERING PLC,AEL.N0000,17.4,141,410701,7211921.7
SEYLAN BANK PLC,SEYB.N0000,56,139,622365,35844483.4
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,8.5,137,254722,2126800
TEEJAY LANKA PLC,TJL.N0000,33.7,134,683823,15461886.3
MELSTACORP PLC,MELS.N0000,80,133,1404855,113116882.4
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,77.2,133,26197,2036571.3
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,50.4,127,500535,25018582.6
KELANI CABLES PLC,KCAB.N0000,285,126,20035,5675447.5
LANKEM DEVELOPMENTS PLC,LDEV.N0000,25.2,126,217121,5513103.5
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,75,125,322775,23456096
LANKA TILES PLC,TILE.N0000,45,125,56281,2495781.7
Co-operative Insurance Company PLC,COOP.N0000,3.2,124,1228961,3821635.7
UB FINANCE COMPANY LIMITED,UBF.N0000,1.2,122,823329,987394.9
UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,76.6,117,26195,2071659.2
C. W. MACKIE PLC,CWM.N0000,89.5,113,53027,4771384.4
RICHARD PIERIS EXPORTS PLC,REXP.N0000,568.75,111,11423,6083945.5
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,57.6,108,410186,23332860.7
SWISSTEK (CEYLON) PLC,PARQ.N0000,16,107,171195,2796516.9
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,20.5,105,174527,3530068.1
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,112.5,105,33395,3690979.75
HNB ASSURANCE PLC,HASU.N0000,57.3,100,1385734,79067702.6
THREE ACRE FARMS PLC,TAFL.N0000,215,97,41745,9027768.25
R I L PROPERTY PLC,RIL.N0000,7,94,567195,3891275.6
HATTON NATIONAL BANK PLC,HNB.X0000,155,94,216076,33151552.75
JANASHAKTHI INSURANCE PLC,JINS.N0000,39.4,88,258515,9894899.6
SHAW WALLACE INVESTMENTS PLC,KZOO.N0000,9.4,86,271806,2556717.9
C I C HOLDINGS PLC,CIC.X0000,55.9,85,155929,8586720.6
JOHN KEELLS HOTELS PLC,KHL.N0000,22.5,83,172220,3874279.2
HEMAS HOLDINGS PLC,HHL.N0000,80,82,68123,5423282.4
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,52,77,51588,2711332.7
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,83.8,76,62749,5277558.3
ELPITIYA PLANTATIONS PLC,ELPL.N0000,86,76,34299,2999013.6
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,15.5,74,40238,627873.6
THE FORTRESS RESORTS PLC,RHTL.N0000,19.4,74,496358,9311487.4
MACKWOODS ENERGY PLC,MEL.N0000,2,72,439039,878078.1
CEYLON TOBACCO COMPANY PLC,CTC.N0000,971,72,109116,104090252.3
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,55,71,90485,5125989.7
ALUMEX PLC,ALUM.N0000,9.3,70,145292,1327324.3
SANASA DEVELOPMENT BANK PLC,SDB.N0000,37.1,70,49655,1875079.1
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,107,70,93402,9802321
BAIRAHA FARMS PLC,BFL.N0000,165,69,27894,4644438.5
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,39.4,69,10014,382746.8
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,92,67,25977,2393226.4
SIERRA CABLES PLC,SIRA.N0000,11.2,67,118492,1344750.1
WINDFORCE PLC,WIND.N0000,18.1,66,120983,2214108.8
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.2,66,222022,916280.8
C I C HOLDINGS PLC,CIC.N0000,70,65,166463,11708494.4
AMBEON CAPITAL PLC,TAP.N0000,9.3,65,419268,3939712.8
EDEN HOTEL LANKA PLC,EDEN.N0000,13,64,69516,894649.8
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,23,61,173485,3983098.4
DIALOG AXIATA PLC,DIAL.N0000,11.7,61,123385,1464715.8
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,33.5,59,33929,1137016.5
hSenid Business Solutions PLC,HBS.N0000,12.5,59,67780,847040.3
BROWN & COMPANY PLC,BRWN.N0000,125,58,34861,4365540.75
SMB FINANCE PLC,SEMB.N0000,0.8,58,364470,292013.4
THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,30.5,57,926585,27837774.1
AMANA BANK PLC,ABL.N0000,2.5,57,932477,2244155
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.3,56,3054627,918573.6
SINGER (SRI LANKA) PLC,SINS.N0000,16.3,56,452019,7346939
HNB FINANCE PLC,HNBF.N0000,5.9,55,364304,2174513.6
AITKEN SPENCE PLC,SPEN.N0000,141.25,53,38982,5470135.75
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,10.7,53,174203,1844821.8
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,82,53,3615,303666.4
ACL PLASTICS PLC,APLA.N0000,389.75,52,2967,1111562.5
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,20,52,62676,1247983.1
LANKEM CEYLON PLC,LCEY.N0000,75,51,57933,4332500
HAYCARB PLC,HAYC.N0000,66.4,50,34041,2271961.9
MARAWILA RESORTS PLC,MARA.N0000,2.7,50,647641,1740668.7
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,82,49,36780,2954198.6
TESS AGRO PLC,TESS.N0000,1,49,87517,87516.4
JETWING SYMPHONY PLC,JETS.N0000,8.8,48,282948,2488537.8
LAUGFS GAS PLC,LGL.N0000,36.8,48,72665,2618221.8
JAT HOLDINGS PLC,JAT.N0000,17,46,69325,1166115
KELANI TYRES PLC,TYRE.N0000,70,45,17560,1225985.7
SERENDIB HOTELS PLC,SHOT.N0000,12.3,45,497445,5965443
BALANGODA PLANTATIONS PLC,BALA.N0000,61,45,6547,396396.4
CEYLON TEA BROKERS PLC,CTBL.N0000,4.7,43,67680,313248.8
PRINTCARE PLC,CARE.N0000,52,43,31143,1575572.6
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,16.7,42,116153,1946875.7
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.4,41,606445,281880
E M L CONSULTANTS PLC,EML.N0000,4.1,40,200313,821134.4
HOTEL SIGIRIYA PLC,HSIG.N0000,41.6,39,24599,1035348.4
LOLC GENERAL INSURANCE PLC,LGIL.N0000,6.7,38,152761,1017486.4
PANASIAN POWER PLC,PAP.N0000,3.5,37,81877,280368.3
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,44.4,37,3292,143882.3
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,27.8,36,6330,175625.1
SATHOSA MOTORS PLC,SMOT.N0000,189.5,35,1614,291820.5
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,272,35,412,100744.25
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,7,35,188854,1309118
UNITED MOTORS LANKA PLC,UML.N0000,74.1,34,13840,1020145.9
LANKA MILK FOODS (CWE) PLC,LMF.N0000,163,33,15480,2553730
THE KINGSBURY PLC,SERV.N0000,10.2,33,621137,6395348.5
STANDARD CAPITAL PLC,SING.N0000,38.5,33,1214,44687.4
NATIONS TRUST BANK PLC,NTB.X0000,120,32,9750,1132342
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,5.3,31,229055,1219118
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,2.5,31,111711,279753.6
HATTON PLANTATIONS PLC,HPL.N0000,25.1,31,9947,249344
SOFTLOGIC FINANCE PLC,CRL.N0000,7.7,31,22325,178854.5
DANKOTUWA PORCELAIN PLC,DPL.N0000,26.6,30,41693,1109524.8
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,34.1,30,11661,397551.6
SINGER FINANCE LANKA PLC,SFIN.N0000,14.5,29,11870,167396.1
PEOPLE'S INSURANCE PLC,PINS.N0000,25.9,29,43308,1102818.7
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,3.5,29,171202,561653.5
HAYLEYS FIBRE PLC,HEXP.N0000,58,28,5568,328990.3
DOLPHIN HOTELS PLC,STAF.N0000,34,28,18330,630510.7
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,377,27,584,222315.25
C M HOLDINGS PLC,COLO.N0000,86,26,1152,94849.2
MASKELIYA PLANTATIONS PLC,MASK.N0000,36,25,40803,1461574.5
KEGALLE PLANTATIONS PLC,KGAL.N0000,123.25,25,4435,546448.75
HVA FOODS PLC,HVA.N0000,4,23,54091,218504
L V L ENERGY FUND PLC,LVEF.N0000,6.5,23,9567,62812.9
WASKADUWA BEACH RESORT PLC,CITW.N0000,2.9,23,162833,472294.5
CEYLON COLD STORES PLC,CCS.N0000,48.7,22,31434,1526828.4
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,182,22,2821,527208.25
HAYLEYS LEISURE PLC,CONN.N0000,23.7,22,28687,684001.7
TAL LANKA HOTELS PLC,TAJ.N0000,21.1,21,7977,171399.1
COLOMBO DOCKYARD PLC,DOCK.N0000,60.3,21,2916,176562.9
HORANA PLANTATIONS PLC,HOPL.N0000,45,21,15400,695451.5
THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,1500,20,625,938499.75
NATION LANKA FINANCE PLC,CSF.N0000,0.5,20,837047,418624.2
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,13.6,20,47723,667848.5
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,588,20,1516,909973.5
VIDULLANKA PLC,VLL.N0000,6.2,19,51701,320670.4
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,25.2,19,6585,166162
SERENDIB HOTELS PLC,SHOT.X0000,9,19,46334,417923.6
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,31.7,19,9279,296580
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,103.25,18,11134,1168785
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,16.6,18,10979,98753.2
HUNAS HOLDINGS PLC,HUNA.N0000,29.3,17,115515,3437570.6
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,17.1,17,20809,354860.5
RESUS ENERGY PLC,HPWR.N0000,13.7,17,12389,169934.2
CEYLON PRINTERS PLC,CPRT.N0000,144,17,345,47027
SAMSON INTERNATIONAL PLC,SIL.N0000,163,17,2067,339810
RENUKA HOLDINGS PLC,RHL.N0000,16,15,34003,531276.5
HNB FINANCE PLC,HNBF.X0000,5.7,15,70185,131456.5
E B CREASY & COMPANY PLC,EBCR.N0000,23.5,15,16300,383210
AMANA TAKAFUL PLC,ATL.N0000,12,14,19929,233940.4
DIALOG FINANCE PLC,CALF.N0000,68,14,2725,176173.4
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,13.3,14,4602,61058.4
CHRISSWORLD PLC,CWL.N0000,11,14,5516,61585.7
LUMINEX PLC,LUMX.N0000,7,14,46150,323050
BERUWALA RESORTS PLC,BERU.N0000,1.4,14,151500,212100
SMB FINANCE PLC,SEMB.X0000,0.3,13,2157972,647478.7
UNION ASSURANCE PLC,UAL.N0000,39.5,13,3250,125541.3
ARPICO INSURANCE PLC,AINS.N0000,24,13,80605,1934972
MADULSIMA PLANTATIONS PLC,MADU.N0000,11,13,5750,63300
LAUGFS GAS PLC,LGL.X0000,23,13,2300,52630
CHEMANEX PLC,CHMX.N0000,88.8,13,354,30644.7
CITRUS LEISURE PLC,REEF.N0000,6.9,12,13276,89337.2
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,33.5,12,1434,48052.9
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,8.5,11,24568,210799.8
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,1.1,11,1000335,1100402
REGNIS (LANKA) PLC,REG.N0000,52,11,4680,245880.2
E - CHANNELLING PLC,ECL.N0000,14.8,11,6545,97235
MYLAND DEVELOPMENTS PLC,MDL.N0000,9.3,11,2631,25076.1
CONVENIENCE FOODS LANKA PLC,SOY.N0000,999,11,185,189616
ASIA CAPITAL PLC,ACAP.N0000,4,11,15110,60440.6
EXTERMINATORS PLC,EXT.N0000,8,11,8476,68008
TRANS ASIA HOTELS PLC,TRAN.N0000,48,11,468,22371
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,48.4,10,570,26261.1
PALM GARDEN HOTELS PLC,PALM.N0000,42.5,9,2202,93586.3
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,118.5,9,158,18301.25
ON'ALLY HOLDINGS PLC,ONAL.N0000,26.6,9,1060,28297
ASIA ASSET FINANCE PLC,AAF.N0000,13,9,56499,733024.7
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,26.6,9,12714,334941.2
RENUKA HOLDINGS PLC,RHL.X0000,11.5,9,3418,39939
ABANS FINANCE PLC,AFSL.N0000,25.8,9,1092,28003.6
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,47,9,7848,368933.5
THE AUTODROME PLC,AUTO.N0000,135,8,331,45143.75
LAXAPANA BATTERIES PLC,LITE.N0000,14.2,8,2500,35660
PMF FINANCE PLC,PMB.N0000,5.1,8,14802,77591
ACME PRINTING & PACKAGING PLC,ACME.N0000,6.5,8,20501,133296.5
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,1050,8,1000,1050425
KAPRUKA HOLDINGS PLC,KPHL.N0000,8.7,8,3605,30734.1
BROWNS BEACH HOTELS PLC,BBH.N0000,14.2,8,3162,44949
KEELLS FOOD PRODUCTS PLC,KFP.N0000,182,8,102,18525.5
EASTERN MERCHANTS PLC,EMER.N0000,8.3,8,23415,195226.9
CEYLINCO INSURANCE PLC,CINS.X0000,900,8,107,93795
SINGHE HOSPITALS PLC,SINH.N0000,2.4,8,1238,2993.3
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,28.5,8,4260,121466.5
AMBEON HOLDINGS PLC,GREG.N0000,36,7,1760,63390
LEE HEDGES PLC,SHAW.N0000,82,7,13254,1086861
RENUKA HOTELS PLC,RCH.N0000,97.1,7,1310,121151
SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,469.5,7,38,17328.5
TESS AGRO PLC,TESS.X0000,0.8,7,5545,4435.4
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,199,7,170,33925
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,1024,6,93,95331.5
LION BREWERY (CEYLON) PLC,LION.N0000,715,6,500,357483
LAUGFS POWER PLC,LPL.X0000,7.3,6,2200,15941
LAUGFS POWER PLC,LPL.N0000,8.4,6,401,3368.6
MALWATTE VALLEY PLANTATION PLC,MAL.X0000,31.6,6,214,6706.9
MAHAWELI REACH HOTELS PLC,MRH.N0000,13.7,5,1271,17415.6
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.3,4,303870,91161
LANKA VENTURES PLC,LVEN.N0000,39.2,4,2550,99960
GESTETNER OF CEYLON PLC,GEST.N0000,94.9,4,54,5128.6
RENUKA CITY HOTELS PLC.,RENU.N0000,390,4,2550,987600
ALPHA FIRE SERVICES PLC,AFS.N0000,47,4,707,33229
RENUKA FOODS PLC,COCO.N0000,19.7,4,1870,36863
CARGILLS (CEYLON) PLC,CARG.N0000,319,4,103,32920
VIDULLANKA PLC,VLL.X0000,4.5,4,500,2250
SEYLAN DEVELOPMENTS PLC,CSD.N0000,13.5,4,1170,15530.4
EAST WEST PROPERTIES PLC,EAST.N0000,8.4,3,3000,25200
C T LAND DEVELOPMENT PLC,CTLD.N0000,25,3,1107,27575
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,11.8,3,12,140.8
YORK ARCADE HOLDINGS PLC,YORK.N0000,171,3,4,697.5
ABANS ELECTRICALS PLC,ABAN.N0000,154.25,3,41,6319.25
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,57,3,3065,174705
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,70,2,100,7000
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,57.8,2,101,5957.8
HIKKADUWA BEACH RESORT PLC,CITH.N0000,5.1,2,24,122.4
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13.4,2,82,1066.4
RAMBODA FALLS PLC,RFL.N0000,27.7,2,52,1443.4
TANGERINE BEACH HOTELS PLC,TANG.N0000,54.6,2,100,5460
JOHN KEELLS PLC,JKL.N0000,70,1,160,11200
CARSON CUMBERBATCH PLC,CARS.N0000,283,1,15,4245
KOTMALE HOLDINGS PLC,LAMB.N0000,430,1,1,430
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,59,1,100,5900
B P P L HOLDINGS PLC,BPPL.N0000,21.5,1,43,924.5
EQUITY TWO PLC,ETWO.N0000,39.2,1,1,39.2
HUNTER & COMPANY PLC,HUNT.N0000,679.75,1,3,4758.25
CEYLON HOSPITALS PLC,CHL.N0000,130,1,1218,158340
ODEL PLC,ODEL.N0000,15.7,1,100,1570
KELSEY DEVELOPMENTS PLC,KDL.N0000,24,1,100,2400
