,20150729,20150730,20150731,20150504
14:08:00,0.0,0.0,0.0,0.0
14:09:00,0.0,0.0,0.0,0.000502638864566
14:10:00,0.0,0.0,0.0,0.00100452042601
14:11:00,0.0,0.0,0.0,-0.00100452042601
14:12:00,0.0,0.0,0.0,0.0
14:13:00,0.0,0.0,0.0,0.00100452042601
14:14:00,0.0,0.0,0.0,0.000501882068251
14:15:00,0.0,0.0,0.0,0.0
14:16:00,0.0,0.0,0.0,-0.000501882068251
14:17:00,0.0,0.0,0.0,-0.00100452042601
14:18:00,0.0,0.0,0.0,-0.000502638864566
14:19:00,0.0,0.0,,0.000502638864566
14:20:00,,0.0,0.0,0.00150640249426
14:21:00,,0.0,0.0,0.000501630308989
14:22:00,0.0,0.0,0.0,0.00150338289403
14:23:00,0.0,0.0,0.0,0.00150112612627
14:24:00,,0.0,0.0,0.000999500333084
14:25:00,0.0,0.0,0.0,0.00099850232959
14:26:00,,0.0,,0.00199401860686
14:27:00,0.0,0.0,0.0,0.00149290896103
14:28:00,0.0,0.0,0.0,0.00149068350586
14:29:00,0.0,0.0,0.0,0.0014884646757
14:30:00,0.0,,0.0,0.000991080358625
14:31:00,0.0,0.0,,-0.00198314393205
14:32:00,0.0,0.0,0.0,-0.000993048740991
14:33:00,0.0,0.0,,0.000993048740991
14:34:00,,0.0,0.0,0.00148772653277
14:35:00,0.0,0.0,0.0,0.00148551649007
14:36:00,0.0,0.0,0.0,0.00148331300373
14:37:00,0.0,0.0,0.0,0.000987654401273
14:38:00,0.0,,0.0,0.00443241306807
14:39:00,0.0,0.0,,0.00587948778459
14:40:00,0.0,0.0,0.0,0.000488400498109
14:41:00,0.0,0.0,0.0,0.000976085973055
14:42:00,0.0,0.0,0.0,0.00243605479788
14:43:00,0.0,0.0,0.0,0.00145878946366
14:44:00,0.0,0.0,0.0,-0.00291971010333
14:45:00,0.0,0.0,0.0,-0.00048744821828
14:46:00,0.0,0.0,0.0,0.0
14:47:00,0.0,0.0,,0.00048744821828
14:48:00,0.0,0.0,0.0,0.00340550073713
14:49:00,0.0,,0.0,-0.000485790633795
14:50:00,0.0,,0.0,-0.000486026741038
14:51:00,0.0,0.0,0.0,0.00145737213067
14:52:00,0.0,0.0,0.0,0.0
14:53:00,0.0,,0.0,0.0
14:54:00,0.0,0.0,0.0,0.00242424361151
14:55:00,0.0,0.0,0.0,0.0
14:56:00,0.0,0.0,0.0,0.000484144284451
14:57:00,0.0,,,0.0
15:00:00,0.0,0.0,0.0,0.000483910002184
