Label,Month,Year,Natural_Disasters,Close (Rs.)
PARQ.N0000,12,1991,0.0,101.42857142857143
PDL.N0000,12,1991,0.0,18.923076923076923
RICH.N0000,12,1991,0.0,255.7
SAMP.N0000,12,1991,0.0,30.88157894736842
SEYB.N0000,12,1991,0.0,65.53947368421052
SHOT.N0000,12,1991,0.0,75.0
SPEN.N0000,12,1991,0.0,298.4423076923077
SUGA.N0000,12,1991,0.0,29.76388888888889
TILE.N0000,12,1991,0.0,70.140625
TKYO.N0000,12,1991,0.0,35.982142857142854
ACL.N0000,1,1992,0.0,190.0
ARPI.N0000,1,1992,0.0,70.0
ASIR.N0000,1,1992,0.0,29.142857142857142
BHR.N0000,1,1992,0.0,91.54166666666667
BINN.N0000,1,1992,0.0,50.0
BRWN.N0000,1,1992,0.0,135.0
CARG.N0000,1,1992,0.0,250.0
CFIN.N0000,1,1992,0.0,267.84375
CFLB.N0000,1,1992,0.0,29.925
CFT.N0000,1,1992,0.0,83.66666666666667
CHOU.N0000,1,1992,0.0,26.85
CIC.N0000,1,1992,0.0,159.4
CIND.N0000,1,1992,0.0,74.63235294117646
CINV.N0000,1,1992,0.0,246.0
COMB.N0000,1,1992,0.0,301.0
CTC.N0000,1,1992,0.0,64.22619047619048
CTCE.N0000,1,1992,0.0,75.71875
CTHR.N0000,1,1992,0.0,356.6666666666667
DFCC.N0000,1,1992,0.0,1813.3333333333333
DIPD.N0000,1,1992,0.0,116.0
EAST.N0000,1,1992,0.0,40.666666666666664
EQIT.N0000,1,1992,0.0,17.0
GHLL.N0000,1,1992,0.0,9.44047619047619
GRAN.N0000,1,1992,0.0,206.75
HAYC.N0000,1,1992,0.0,163.375
HAYL.N0000,1,1992,0.0,425.7105263157895
HDEV.N0000,1,1992,0.0,35.916666666666664
HNB.N0000,1,1992,0.0,368.05
JKH.N0000,1,1992,0.0,256.45
LCEM.N0000,1,1992,0.0,10.109375
LMF.N0000,1,1992,0.0,38.225
MIRA.N0000,1,1992,0.0,43.25
MORI.N0000,1,1992,0.0,240.0
NEST.N0000,1,1992,0.0,37.56666666666667
ONAL.N0000,1,1992,0.0,18.458333333333332
OSEA.N0000,1,1992,0.0,22.0
PDL.N0000,1,1992,0.0,23.95
RICH.N0000,1,1992,0.0,265.5
SAMP.N0000,1,1992,0.0,48.69047619047619
SEYB.N0000,1,1992,0.0,95.60714285714286
SHOT.N0000,1,1992,0.0,79.0
SPEN.N0000,1,1992,0.0,285.01785714285717
SUGA.N0000,1,1992,0.0,46.470588235294116
SUN.N0000,1,1992,0.0,15.0
TILE.N0000,1,1992,0.0,86.36666666666666
TKYO.N0000,1,1992,0.0,51.535714285714285
ARPI.N0000,2,1992,0.0,70.8
ASIR.N0000,2,1992,0.0,28.75
BHR.N0000,2,1992,0.0,73.55
BINN.N0000,2,1992,0.0,49.75
BRWN.N0000,2,1992,0.0,140.0
CFIN.N0000,2,1992,0.0,281.22222222222223
CFLB.N0000,2,1992,0.0,15.0
CFT.N0000,2,1992,0.0,88.0
CHOU.N0000,2,1992,0.0,24.625
CIC.N0000,2,1992,0.0,75.0
CIND.N0000,2,1992,0.0,72.55882352941177
COMB.N0000,2,1992,0.0,280.9642857142857
CTC.N0000,2,1992,0.0,54.267857142857146
CTCE.N0000,2,1992,0.0,70.08333333333333
CTHR.N0000,2,1992,0.0,360.375
DFCC.N0000,2,1992,0.0,1400.2222222222222
DIPD.N0000,2,1992,0.0,92.83333333333333
DIST.N0000,2,1992,0.0,11.0
EQIT.N0000,2,1992,0.0,18.1875
GHLL.N0000,2,1992,0.0,8.703125
GRAN.N0000,2,1992,0.0,196.28125
HAYC.N0000,2,1992,0.0,130.27272727272728
HAYL.N0000,2,1992,0.0,358.57142857142856
HDEV.N0000,2,1992,0.0,32.833333333333336
HNB.N0000,2,1992,0.0,410.0
HUEJ.N0000,2,1992,0.0,50.0
JKH.N0000,2,1992,0.0,276.95588235294116
JKH.R0000,2,1992,0.0,114.2
LCEM.N0000,2,1992,0.0,9.333333333333334
LMF.N0000,2,1992,0.0,34.69444444444444
NEST.N0000,2,1992,0.0,18.75
ONAL.N0000,2,1992,0.0,18.0
OSEA.N0000,2,1992,0.0,22.0625
PARQ.N0000,2,1992,0.0,91.0
PDL.N0000,2,1992,0.0,19.285714285714285
RICH.N0000,2,1992,0.0,227.71428571428572
SAMP.N0000,2,1992,0.0,40.208333333333336
SEYB.N0000,2,1992,0.0,84.76388888888889
SHOT.N0000,2,1992,0.0,0.0
SPEN.N0000,2,1992,0.0,230.125
SUGA.N0000,2,1992,0.0,37.97222222222222
SUN.N0000,2,1992,0.0,16.5
TILE.N0000,2,1992,0.0,72.75
TKYO.N0000,2,1992,0.0,51.25
ASIR.N0000,3,1992,0.0,24.625
BHR.N0000,3,1992,0.0,73.203125
BINN.N0000,3,1992,0.0,47.5
BRWN.N0000,3,1992,0.0,134.6
CARG.N0000,3,1992,0.0,0.0
CFIN.N0000,3,1992,0.0,292.953125
CFLB.N0000,3,1992,0.0,13.0
CFT.N0000,3,1992,0.0,84.0
CHOU.N0000,3,1992,0.0,23.55
CIC.N0000,3,1992,0.0,127.27777777777777
