Label,Year,Month,Close (Rs.),Election
RICH.N0000,2012,2,7.5,0
RWSL.N0000,2012,2,3.55,0
SAMP.N0000,2012,2,183.85,0
SELI.N0000,2012,2,1095.1,0
SEMB.N0000,2012,2,1.3,0
SEYB.N0000,2012,2,62.45,0
SEYB.X0000,2012,2,27.799999999999997,0
SFL.N0000,2012,2,95.0,0
SFS.N0000,2012,2,165.7,0
SHAL.N0000,2012,2,882.7,0
SHL.N0000,2012,2,13.45,0
SHOT.N0000,2012,2,23.75,0
SIRA.N0000,2012,2,3.3499999999999996,0
SPEN.N0000,2012,2,114.0,0
SUN.N0000,2012,2,19.8,0
TAFL.N0000,2012,2,65.5,0
TFC.N0000,2012,2,35.95,0
TFC.X0000,2012,2,8.9,0
TFIL.N0000,2012,2,17.15,0
TILE.N0000,2012,2,70.85,0
TJL.N0000,2012,2,8.0,0
TKYO.N0000,2012,2,40.0,0
TKYO.X0000,2012,2,26.4,0
TWOD.N0000,2012,2,16.75,0
TYRE.N0000,2012,2,28.5,0
UBC.N0000,2012,2,18.0,0
UDPL.N0000,2012,2,28.5,0
VFIN.N0000,2012,2,37.8,0
VLL.N0000,2012,2,6.4,0
VONE.N0000,2012,2,19.5,0
VPEL.N0000,2012,2,7.0,0
WATA.N0000,2012,2,9.9,0
AAIC.N0000,2012,3,90.1,0
ACL.N0000,2012,3,62.1,0
AEL.N0000,2012,3,26.4,0
AGST.N0000,2012,3,14.7,0
AMF.N0000,2012,3,420.0,0
AMSL.N0000,2012,3,7.8,0
ARPI.N0000,2012,3,95.5,0
ASHA.N0000,2012,3,160.0,0
ASIR.N0000,2012,3,7.8,0
BFL.N0000,2012,3,131.7,0
BHR.N0000,2012,3,88.85,0
BIL.N0000,2012,3,3.5,0
BINN.N0000,2012,3,135.95,0
BLI.N0000,2012,3,33.5,0
BOGA.N0000,2012,3,26.5,0
BRWN.N0000,2012,3,155.1,0
CARE.N0000,2012,3,30.0,0
CARG.N0000,2012,3,173.0,0
CCS.N0000,2012,3,85.5,0
CDB.X0000,2012,3,51.4,0
CFIN.N0000,2012,3,176.0,0
CFL.N0000,2012,3,15.95,0
CFLB.N0000,2012,3,37.2,0
CFT.N0000,2012,3,6.95,0
CFVF.N0000,2012,3,10.9,0
CHOU.N0000,2012,3,15.2,0
CIC.N0000,2012,3,95.1,0
CIC.X0000,2012,3,65.2,0
CIFL.N0000,2012,3,6.9,0
CIND.N0000,2012,3,69.5,0
CINV.N0000,2012,3,81.0,0
CITK.N0000,2012,3,9.5,0
CITW.N0000,2012,3,9.5,0
CLPL.N0000,2012,3,95.2,0
CLPL.W0013,2012,3,14.649999999999999,0
CLPL.W0014,2012,3,14.3,0
COCR.N0000,2012,3,16.0,0
COMB.N0000,2012,3,100.0,0
COMB.X0000,2012,3,81.3,0
CSF.W0021,2012,3,3.8,0
CTC.N0000,2012,3,507.2,0
CTCE.N0000,2012,3,210.0,0
CTHR.N0000,2012,3,150.0,0
DFCC.N0000,2012,3,106.9,0
DIAL.N0000,2012,3,7.1,0
DIPD.N0000,2012,3,92.0,0
DIST.N0000,2012,3,142.0,0
DPL.N0000,2012,3,17.2,0
EAST.N0000,2012,3,13.1,0
ELPL.N0000,2012,3,17.1,0
EQIT.N0000,2012,3,34.45,0
ESL.N0000,2012,3,25.2,0
EXPO.N0000,2012,3,6.5,0
FLCH.N0000,2012,3,2.1,0
GHLL.N0000,2012,3,20.8,0
GLAS.N0000,2012,3,5.9,0
GOOD.N0000,2012,3,1186.0,0
GRAN.N0000,2012,3,61.9,0
GREG.N0000,2012,3,16.6,0
GREG.W0003,2012,3,6.1,0
GREG.W0006,2012,3,6.0,0
HASU.N0000,2012,3,47.45,0
HAYC.N0000,2012,3,155.0,0
HAYL.N0000,2012,3,361.5,0
HHL.N0000,2012,3,26.5,0
HNB.N0000,2012,3,150.0,0
HNB.X0000,2012,3,92.0,0
HUEJ.N0000,2012,3,105.45,0
IDL.N0000,2012,3,127.6,0
JFIN.N0000,2012,3,300.0,0
JINS.N0000,2012,3,11.7,0
JKH.N0000,2012,3,195.0,0
KAPI.N0000,2012,3,25.0,0
KGAL.N0000,2012,3,96.95,0
KOTA.N0000,2012,3,63.4,0
KURU.N0000,2012,3,25.25,0
KZOO.N0000,2012,3,2234.5,0
LCEM.N0000,2012,3,12.0,0
LDEV.N0000,2012,3,11.0,0
LFIN.N0000,2012,3,137.0,0
LIOC.N0000,2012,3,20.0,0
LION.N0000,2012,3,199.0,0
LLUB.N0000,2012,3,173.9,0
LMF.N0000,2012,3,98.0,0
LOFC.N0000,2012,3,4.9,0
LOLC.N0000,2012,3,55.1,0
LPRT.N0000,2012,3,117.8,0
LWL.N0000,2012,3,77.1,0
MERC.N0000,2012,3,2200.0,0
MFL.N0000,2012,3,27.6,0
MGT.N0000,2012,3,12.6,0
MIRA.N0000,2012,3,143.9,0
MORI.N0000,2012,3,240.0,0
MORI.X0000,2012,3,135.5,0
MPRH.N0000,2012,3,19.0,0
NAVF.U0000,2012,3,60.0,0
NDB.N0000,2012,3,123.2,0
NEST.N0000,2012,3,906.0,0
NHL.N0000,2012,3,3.1,0
NIFL.N0000,2012,3,8.3,0
NTB.N0000,2012,3,56.8,0
OGL.N0000,2012,3,17.7,0
ONAL.N0000,2012,3,61.650000000000006,0
OSEA.N0000,2012,3,12.9,0
PALM.N0000,2012,3,165.75,0
PAP.N0000,2012,3,2.8,0
PARA.N0000,2012,3,1675.0,0
PARQ.N0000,2012,3,15.75,0
PCH.N0000,2012,3,8.9,0
PCP.N0000,2012,3,22.8,0
PDL.N0000,2012,3,46.1,0
PLC.N0000,2012,3,11.6,0
RAL.N0000,2012,3,6.6,0
RCL.N0000,2012,3,118.0,0
REEF.W0018,2012,3,5.7,0
REEF.W0019,2012,3,8.0,0
RICH.N0000,2012,3,7.1,0
RWSL.N0000,2012,3,3.1,0
SAMP.N0000,2012,3,184.5,0
SELI.N0000,2012,3,1107.9,0
SEMB.N0000,2012,3,1.3,0
SEYB.N0000,2012,3,64.35,0
SEYB.X0000,2012,3,28.0,0
SFL.N0000,2012,3,99.0,0
SFS.N0000,2012,3,151.4,0
SHAL.N0000,2012,3,887.0,0
SHL.N0000,2012,3,12.5,0
SHOT.N0000,2012,3,25.0,0
SIRA.N0000,2012,3,3.4,0
SPEN.N0000,2012,3,115.1,0
SUN.N0000,2012,3,19.0,0
TAFL.N0000,2012,3,53.1,0
TFC.N0000,2012,3,32.5,0
TFC.X0000,2012,3,8.0,0
TFIL.N0000,2012,3,15.6,0
TILE.N0000,2012,3,67.0,0
TJL.N0000,2012,3,7.3,0
TKYO.N0000,2012,3,39.05,0
TKYO.X0000,2012,3,26.6,0
TWOD.N0000,2012,3,15.7,0
TYRE.N0000,2012,3,26.5,0
UBC.N0000,2012,3,17.2,0
UDPL.N0000,2012,3,28.5,0
VFIN.N0000,2012,3,37.2,0
VLL.N0000,2012,3,6.0,0
VONE.N0000,2012,3,20.0,0
VPEL.N0000,2012,3,6.8,0
WATA.N0000,2012,3,9.8,0
AAIC.N0000,2012,4,76.5,0
ACL.N0000,2012,4,61.0,0
AEL.N0000,2012,4,24.05,0
AGST.N0000,2012,4,10.0,0
AMF.N0000,2012,4,355.0,0
AMSL.N0000,2012,4,7.699999999999999,0
ARPI.N0000,2012,4,94.4,0
ASHA.N0000,2012,4,140.7,0
ASIR.N0000,2012,4,7.85,0
BFL.N0000,2012,4,127.05,0
BHR.N0000,2012,4,84.25,0
BIL.N0000,2012,4,3.25,0
BINN.N0000,2012,4,96.3,0
BLI.N0000,2012,4,34.7,0
BOGA.N0000,2012,4,24.0,0
BRWN.N0000,2012,4,156.1,0
CARE.N0000,2012,4,30.5,0
CARG.N0000,2012,4,173.25,0
CCS.N0000,2012,4,90.0,0
CDB.X0000,2012,4,55.0,0
CFIN.N0000,2012,4,165.8,0
CFL.N0000,2012,4,14.2,0
CFLB.N0000,2012,4,33.5,0
CFT.N0000,2012,4,5.8,0
CFVF.N0000,2012,4,11.0,0
CHOU.N0000,2012,4,14.149999999999999,0
CIC.N0000,2012,4,100.0,0
CIC.X0000,2012,4,63.7,0
CIFL.N0000,2012,4,5.5,0
CIND.N0000,2012,4,65.0,0
CINV.N0000,2012,4,78.1,0
CITK.N0000,2012,4,8.5,0
CITW.N0000,2012,4,8.8,0
CLPL.N0000,2012,4,87.0,0
CLPL.W0013,2012,4,12.0,0
CLPL.W0014,2012,4,11.25,0
COCR.N0000,2012,4,15.850000000000001,0
COMB.N0000,2012,4,101.0,0
COMB.X0000,2012,4,79.95,0
CSF.W0021,2012,4,2.5,0
CTC.N0000,2012,4,602.65,0
CTCE.N0000,2012,4,195.5,0
CTHR.N0000,2012,4,150.05,0
DFCC.N0000,2012,4,118.0,0
DIAL.N0000,2012,4,6.95,0
DIPD.N0000,2012,4,100.0,0
DIST.N0000,2012,4,142.0,0
DPL.N0000,2012,4,15.350000000000001,0
EAST.N0000,2012,4,13.0,0
ELPL.N0000,2012,4,14.2,0
EQIT.N0000,2012,4,32.0,0
ESL.N0000,2012,4,20.5,0
EXPO.N0000,2012,4,6.1,0
FLCH.N0000,2012,4,2.0,0
GHLL.N0000,2012,4,19.05,0
GLAS.N0000,2012,4,6.0,0
GOOD.N0000,2012,4,1190.0,0
GRAN.N0000,2012,4,58.1,0
GREG.N0000,2012,4,16.1,0
GREG.W0003,2012,4,6.15,0
GREG.W0006,2012,4,6.4,0
HASU.N0000,2012,4,44.0,0
HAYC.N0000,2012,4,160.45,0
HAYL.N0000,2012,4,360.0,0
HHL.N0000,2012,4,25.5,0
HNB.N0000,2012,4,156.1,0
HNB.X0000,2012,4,95.85,0
HUEJ.N0000,2012,4,106.7,0
IDL.N0000,2012,4,158.95,0
JFIN.N0000,2012,4,297.0,0
JINS.N0000,2012,4,11.05,0
JKH.N0000,2012,4,208.45,0
KAPI.N0000,2012,4,22.65,0
KGAL.N0000,2012,4,102.2,0
KOTA.N0000,2012,4,68.8,0
KURU.N0000,2012,4,23.5,0
KZOO.N0000,2012,4,2150.0,0
LCEM.N0000,2012,4,10.9,0
LDEV.N0000,2012,4,9.850000000000001,0
LFIN.N0000,2012,4,124.0,0
LIOC.N0000,2012,4,18.0,0
LION.N0000,2012,4,214.65,0
LLUB.N0000,2012,4,178.85,0
LMF.N0000,2012,4,100.0,0
LOFC.N0000,2012,4,4.0,0
LOLC.N0000,2012,4,52.6,0
LPRT.N0000,2012,4,103.9,0
LWL.N0000,2012,4,70.1,0
MFL.N0000,2012,4,23.95,0
MGT.N0000,2012,4,11.4,0
MGT.R0000,2012,4,0.1,0
MIRA.N0000,2012,4,141.0,0
MORI.N0000,2012,4,207.9,0
MORI.X0000,2012,4,120.0,0
MPRH.N0000,2012,4,19.65,0
NAVF.U0000,2012,4,60.95,0
NDB.N0000,2012,4,123.0,0
NEST.N0000,2012,4,970.0,0
NHL.N0000,2012,4,3.0,0
NIFL.N0000,2012,4,8.2,0
NTB.N0000,2012,4,54.45,0
OGL.N0000,2012,4,16.8,0
ONAL.N0000,2012,4,55.2,0
OSEA.N0000,2012,4,13.5,0
PALM.N0000,2012,4,155.5,0
PAP.N0000,2012,4,2.5,0
PARA.N0000,2012,4,1690.0,0
PARQ.N0000,2012,4,13.7,0
PCH.N0000,2012,4,7.6,0
PCP.N0000,2012,4,15.5,0
PDL.N0000,2012,4,46.1,0
PLC.N0000,2012,4,11.25,0
RAL.N0000,2012,4,5.9,0
RCL.N0000,2012,4,113.0,0
REEF.W0018,2012,4,4.1,0
REEF.W0019,2012,4,7.1,0
RICH.N0000,2012,4,7.15,0
RWSL.N0000,2012,4,2.95,0
SAMP.N0000,2012,4,177.85000000000002,0
SCAP.R0000,2012,4,0.15000000000000002,0
SELI.N0000,2012,4,1150.0,0
SEMB.N0000,2012,4,1.3,0
SEYB.N0000,2012,4,63.0,0
SEYB.X0000,2012,4,26.95,0
SFL.N0000,2012,4,85.45,0
SFS.N0000,2012,4,8.75,0
SHAL.N0000,2012,4,914.3,0
SHL.N0000,2012,4,11.8,0
SHOT.N0000,2012,4,23.6,0
SIRA.N0000,2012,4,3.1500000000000004,0
SPEN.N0000,2012,4,112.85,0
SUN.N0000,2012,4,20.0,0
TAFL.N0000,2012,4,53.5,0
TFC.N0000,2012,4,30.4,0
TFC.X0000,2012,4,7.4,0
TFIL.N0000,2012,4,13.25,0
