Label,Year,Month,Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.),Loan Rate,Inflation,Buy Rate,Election
CTC.N0000,2017,3,837.45,6.0,1042.0,852623.75,8.75,7.3,149.944,0
DFCC.N0000,2017,3,115.1086956521739,26.0,9409.0,1072941.2,8.75,7.3,149.944,0
DIPD.N0000,2017,3,77.52222222222223,4.0,458.0,36037.25,8.75,7.3,149.944,0
EAST.N0000,2017,3,13.044999999999998,13.5,12379.5,149771.55,8.75,7.3,149.944,0
GHLL.N0000,2017,3,9.747826086956522,13.0,17059.0,164452.5,8.75,7.3,149.944,0
GLAS.N0000,2017,3,5.543478260869565,11.0,77248.0,424864.0,8.75,7.3,149.944,0
GRAN.N0000,2017,3,67.89565217391304,48.0,23888.0,1650485.9,8.75,7.3,149.944,0
HAYC.N0000,2017,3,152.41666666666666,2.0,175.5,26676.3,8.75,7.3,149.944,0
HAYL.N0000,2017,3,262.3521739130435,8.0,3207.0,845625.0,8.75,7.3,149.944,0
HNB.N0000,2017,3,230.6818181818182,10.0,25308.0,5810966.05,8.75,7.3,149.944,0
JKH.N0000,2017,3,138.38260869565218,113.0,1057957.0,145993071.4,8.75,7.3,149.944,0
LMF.N0000,2017,3,119.81428571428572,2.5,1918.0,231629.3,8.75,7.3,149.944,0
LWL.N0000,2017,3,95.22,6.5,1502.0,142571.75,8.75,7.3,149.944,0
NDB.N0000,2017,3,136.6391304347826,29.0,6233.0,837068.9,8.75,7.3,149.944,0
NEST.N0000,2017,3,2014.4238095238093,5.0,100.0,208933.0,8.75,7.3,149.944,0
ONAL.N0000,2017,3,49.82857142857143,2.0,40.0,1920.0,8.75,7.3,149.944,0
OSEA.N0000,2017,3,20.09090909090909,7.0,6079.5,121840.4,8.75,7.3,149.944,0
PALM.N0000,2017,3,25.294444444444444,3.5,700.0,17450.55,8.75,7.3,149.944,0
PARQ.N0000,2017,3,66.84,4.5,3767.0,250739.75,8.75,7.3,149.944,0
PDL.N0000,2017,3,76.71176470588236,3.0,276.0,21224.4,8.75,7.3,149.944,0
RCL.N0000,2017,3,119.55,9.0,9291.0,1112374.2,8.75,7.3,149.944,0
RICH.N0000,2017,3,8.282608695652174,19.0,128892.0,1077322.0,8.75,7.3,149.944,0
SAMP.N0000,2017,3,264.54782608695655,35.0,20642.0,5537104.0,8.75,7.3,149.944,0
SEMB.N0000,2017,3,0.4956521739130435,9.0,224102.0,112051.0,8.75,7.3,149.944,0
SEYB.N0000,2017,3,90.0764705882353,4.0,1700.0,144860.2,8.75,7.3,149.944,0
SHOT.N0000,2017,3,24.133333333333336,3.0,3301.5,75963.25,8.75,7.3,149.944,0
SPEN.N0000,2017,3,58.86086956521739,7.0,2586.0,153375.5,8.75,7.3,149.944,0
TILE.N0000,2017,3,102.62105263157896,3.0,199.0,19919.9,8.75,7.3,149.944,0
TKYO.N0000,2017,3,62.04782608695652,15.0,43207.0,2722041.0,8.75,7.3,149.944,0
TYRE.N0000,2017,3,54.24736842105264,5.0,1138.0,62485.0,8.75,7.3,149.944,0
ACL.N0000,2017,4,58.05882352941177,13.0,6150.0,363998.9,8.75,6.9,150.3712,0
ASIR.N0000,2017,4,25.90666666666667,5.0,5687.0,147999.4,8.75,6.9,150.3712,0
BFL.N0000,2017,4,170.54117647058823,24.0,9903.0,1584489.9,8.75,6.9,150.3712,0
BOGA.N0000,2017,4,14.047058823529412,10.0,5856.0,83626.3,8.75,6.9,150.3712,0
BRWN.N0000,2017,4,82.6875,8.0,1422.0,120410.2,8.75,6.9,150.3712,0
CARG.N0000,2017,4,195.33571428571423,6.5,5705.0,1123013.0,8.75,6.9,150.3712,0
CCS.N0000,2017,4,924.729411764706,24.0,2036.0,1851228.9,8.75,6.9,150.3712,0
CFIN.N0000,2017,4,88.60000000000001,24.0,27961.0,2495405.9,8.75,6.9,150.3712,0
CFLB.N0000,2017,4,19.273333333333333,6.0,6235.0,125525.5,8.75,6.9,150.3712,0
CFVF.N0000,2017,4,23.84705882352941,55.0,50869.0,1223672.2,8.75,6.9,150.3712,0
CIC.N0000,2017,4,84.34666666666666,7.0,3700.0,315350.0,8.75,6.9,150.3712,0
CIC.X0000,2017,4,69.25454545454545,4.0,2482.0,173690.0,8.75,6.9,150.3712,0
CIND.N0000,2017,4,47.16470588235294,15.0,11596.0,532186.9,8.75,6.9,150.3712,0
CINV.N0000,2017,4,45.2235294117647,31.0,24810.0,1021763.5,8.75,6.9,150.3712,0
COMB.N0000,2017,4,138.71764705882353,51.0,576652.0,77557243.3,8.75,6.9,150.3712,0
CTC.N0000,2017,4,938.69375,14.0,2916.0,2815611.9,8.75,6.9,150.3712,0
DFCC.N0000,2017,4,119.34705882352942,24.0,13361.0,1599978.1,8.75,6.9,150.3712,0
DIPD.N0000,2017,4,79.5,6.0,2196.0,171440.0,8.75,6.9,150.3712,0
EAST.N0000,2017,4,14.6,40.0,34477.0,519995.4,8.75,6.9,150.3712,0
GHLL.N0000,2017,4,10.0,14.0,10119.0,100458.0,8.75,6.9,150.3712,0
GLAS.N0000,2017,4,5.882352941176471,21.0,140039.0,812226.2,8.75,6.9,150.3712,0
GRAN.N0000,2017,4,75.47647058823529,90.0,84429.0,6063236.9,8.75,6.9,150.3712,0
HAYC.N0000,2017,4,150.4909090909091,3.0,140.0,21695.2,8.75,6.9,150.3712,0
HAYL.N0000,2017,4,275.01176470588234,10.0,2209.0,617956.0,8.75,6.9,150.3712,0
HNB.N0000,2017,4,226.84117647058824,20.0,31015.0,7026505.7,8.75,6.9,150.3712,0
JKH.N0000,2017,4,152.20000000000002,308.0,1471610.0,214502520.4,8.75,6.9,150.3712,0
LMF.N0000,2017,4,121.82857142857142,3.0,600.0,73301.0,8.75,6.9,150.3712,0
LWL.N0000,2017,4,98.2,14.0,14791.0,1433500.0,8.75,6.9,150.3712,0
NDB.N0000,2017,4,138.90588235294118,29.0,8528.0,1181348.7,8.75,6.9,150.3712,0
NEST.N0000,2017,4,2150.1375,11.0,1089.5,2331247.0,8.75,6.9,150.3712,0
ONAL.N0000,2017,4,47.96428571428572,2.0,60.0,2830.0,8.75,6.9,150.3712,0
OSEA.N0000,2017,4,20.91176470588235,19.0,20529.0,418147.4,8.75,6.9,150.3712,0
PALM.N0000,2017,4,27.69333333333333,5.0,714.0,17227.6,8.75,6.9,150.3712,0
PARQ.N0000,2017,4,68.0625,11.0,4601.0,304103.35,8.75,6.9,150.3712,0
PDL.N0000,2017,4,88.66875,6.0,459.0,41040.0,8.75,6.9,150.3712,0
RCL.N0000,2017,4,122.86470588235294,12.0,10016.0,1207295.1,8.75,6.9,150.3712,0
RICH.N0000,2017,4,8.629411764705884,20.0,117351.0,999728.5,8.75,6.9,150.3712,0
SAMP.N0000,2017,4,263.0705882352941,46.0,42261.0,10898626.5,8.75,6.9,150.3712,0
SEMB.N0000,2017,4,0.6,8.0,81601.0,49060.7,8.75,6.9,150.3712,0
SEYB.N0000,2017,4,90.89375,4.5,5756.0,521344.85,8.75,6.9,150.3712,0
SHOT.N0000,2017,4,24.32,1.0,100.0,2470.0,8.75,6.9,150.3712,0
SPEN.N0000,2017,4,61.95882352941176,11.0,4053.0,243443.0,8.75,6.9,150.3712,0
TILE.N0000,2017,4,104.85,3.5,65.5,6961.4,8.75,6.9,150.3712,0
TKYO.N0000,2017,4,67.17058823529412,38.0,59496.0,4040799.6,8.75,6.9,150.3712,0
TYRE.N0000,2017,4,57.99375,14.0,9607.0,564392.65,8.75,6.9,150.3712,0
ACL.N0000,2017,5,62.255,26.5,43435.5,2730492.75,8.75,6.0,150.61125,0
ASIR.N0000,2017,5,25.37,6.0,13803.5,350080.75,8.75,6.0,150.61125,0
BFL.N0000,2017,5,167.15,18.5,9313.5,1584237.5,8.75,6.0,150.61125,0
BOGA.N0000,2017,5,16.126315789473683,22.0,26385.0,400126.9,8.75,6.0,150.61125,0
BRWN.N0000,2017,5,89.27000000000001,8.0,5537.0,504501.6,8.75,6.0,150.61125,0
CARG.N0000,2017,5,213.26315789473685,7.0,2000.0,432756.5,8.75,6.0,150.61125,0
CCS.N0000,2017,5,925.355,16.0,571.0,523827.45,8.75,6.0,150.61125,0
CFIN.N0000,2017,5,93.9,28.0,21612.0,1998707.85,8.75,6.0,150.61125,0
CFLB.N0000,2017,5,22.01,6.5,17914.5,377211.25,8.75,6.0,150.61125,0
CFVF.N0000,2017,5,26.35,35.5,27814.0,749681.95,8.75,6.0,150.61125,0
CIC.N0000,2017,5,84.98333333333333,4.5,961.5,80296.8,8.75,6.0,150.61125,0
CIC.X0000,2017,5,65.21333333333334,8.0,1465.0,95415.0,8.75,6.0,150.61125,0
CIND.N0000,2017,5,47.88,18.0,12500.0,612149.75,8.75,6.0,150.61125,0
CINV.N0000,2017,5,46.055,14.0,7694.0,351302.0,8.75,6.0,150.61125,0
COMB.N0000,2017,5,142.48,60.0,68052.5,9849212.65,8.75,6.0,150.61125,0
CTC.N0000,2017,5,990.6055555555556,7.5,524.0,518668.9,8.75,6.0,150.61125,0
