Label,Year,Month,Loan Rate,Election,Close (Rs.),Inflation,Buy Rate
PARQ.N0000,1991,11,19.3,0,116.8,9.1,42.43
PDL.N0000,1991,11,19.3,0,17.65,9.1,42.43
RICH.N0000,1991,11,19.3,0,327.6666666666667,9.1,42.43
SAMP.N0000,1991,11,19.3,0,23.875,9.1,42.43
SEYB.N0000,1991,11,19.3,0,44.1625,9.1,42.43
SHOT.N0000,1991,11,19.3,0,65.825,9.1,42.43
SPEN.N0000,1991,11,19.3,0,317.45,9.1,42.43
SUGA.N0000,1991,11,19.3,0,19.425,9.1,42.43
TILE.N0000,1991,11,19.3,0,52.142857142857146,9.1,42.43
TKYO.N0000,1991,11,19.3,0,28.589285714285715,9.1,42.43
ACL.N0000,1991,12,19.3,0,192.57142857142856,9.0,42.53
ARPI.N0000,1991,12,19.3,0,70.0,9.0,42.53
ASIR.N0000,1991,12,19.3,0,25.21875,9.0,42.53
BHR.N0000,1991,12,19.3,0,79.16666666666667,9.0,42.53
BRWN.N0000,1991,12,19.3,0,150.0,9.0,42.53
CARG.N0000,1991,12,19.3,0,224.44444444444449,9.0,42.53
CFIN.N0000,1991,12,19.3,0,251.70833333333331,9.0,42.53
CFLB.N0000,1991,12,19.3,0,28.55555555555556,9.0,42.53
CFT.N0000,1991,12,19.3,0,80.0,9.0,42.53
CHOU.N0000,1991,12,19.3,0,18.5,9.0,42.53
CIC.N0000,1991,12,19.3,0,92.625,9.0,42.53
CIND.N0000,1991,12,19.3,0,72.69736842105263,9.0,42.53
CINV.N0000,1991,12,19.3,0,117.5,9.0,42.53
COMB.N0000,1991,12,19.3,0,268.765625,9.0,42.53
CTC.N0000,1991,12,19.3,0,54.44117647058823,9.0,42.53
CTCE.N0000,1991,12,19.3,0,54.5,9.0,42.53
DFCC.N0000,1991,12,19.3,0,1539.6923076923076,9.0,42.53
DIPD.N0000,1991,12,19.3,0,127.45,9.0,42.53
EAST.N0000,1991,12,19.3,0,39.28125,9.0,42.53
GHLL.N0000,1991,12,19.3,0,7.338235294117647,9.0,42.53
GRAN.N0000,1991,12,19.3,0,169.05,9.0,42.53
HAYC.N0000,1991,12,19.3,0,147.95,9.0,42.53
HAYL.N0000,1991,12,19.3,0,403.0833333333333,9.0,42.53
HDEV.N0000,1991,12,19.3,0,17.355263157894736,9.0,42.53
HNB.N0000,1991,12,19.3,0,401.2291666666667,9.0,42.53
JKH.N0000,1991,12,19.3,0,299.0394736842105,9.0,42.53
KAPI.N0000,1991,12,19.3,0,39.4,9.0,42.53
LCEM.N0000,1991,12,19.3,0,7.318181818181818,9.0,42.53
LDEV.N0000,1991,12,19.3,0,54.0,9.0,42.53
LMF.N0000,1991,12,19.3,0,30.36842105263158,9.0,42.53
MIRA.N0000,1991,12,19.3,0,53.5,9.0,42.53
MORI.N0000,1991,12,19.3,0,0.0,9.0,42.53
NEST.N0000,1991,12,19.3,0,26.45833333333333,9.0,42.53
ONAL.N0000,1991,12,19.3,0,16.625,9.0,42.53
OSEA.N0000,1991,12,19.3,0,19.15,9.0,42.53
PARQ.N0000,1991,12,19.3,0,101.42857142857144,9.0,42.53
PDL.N0000,1991,12,19.3,0,18.923076923076923,9.0,42.53
RICH.N0000,1991,12,19.3,0,255.7,9.0,42.53
SAMP.N0000,1991,12,19.3,0,30.88157894736842,9.0,42.53
SEYB.N0000,1991,12,19.3,0,65.53947368421052,9.0,42.53
SHOT.N0000,1991,12,19.3,0,75.0,9.0,42.53
SPEN.N0000,1991,12,19.3,0,298.4423076923077,9.0,42.53
SUGA.N0000,1991,12,19.3,0,29.76388888888889,9.0,42.53
TILE.N0000,1991,12,19.3,0,70.140625,9.0,42.53
TKYO.N0000,1991,12,19.3,0,35.982142857142854,9.0,42.53
ACL.N0000,1992,1,19.5,0,190.0,12.1,42.68
ARPI.N0000,1992,1,19.5,0,70.0,12.1,42.68
ASIR.N0000,1992,1,19.5,0,29.142857142857142,12.1,42.68
BHR.N0000,1992,1,19.5,0,91.54166666666669,12.1,42.68
BINN.N0000,1992,1,19.5,0,50.0,12.1,42.68
BRWN.N0000,1992,1,19.5,0,135.0,12.1,42.68
CARG.N0000,1992,1,19.5,0,250.0,12.1,42.68
CFIN.N0000,1992,1,19.5,0,267.84375,12.1,42.68
CFLB.N0000,1992,1,19.5,0,29.925,12.1,42.68
CFT.N0000,1992,1,19.5,0,83.66666666666667,12.1,42.68
CHOU.N0000,1992,1,19.5,0,26.85,12.1,42.68
CIC.N0000,1992,1,19.5,0,159.4,12.1,42.68
CIND.N0000,1992,1,19.5,0,74.63235294117646,12.1,42.68
CINV.N0000,1992,1,19.5,0,246.0,12.1,42.68
COMB.N0000,1992,1,19.5,0,301.0,12.1,42.68
CTC.N0000,1992,1,19.5,0,64.22619047619048,12.1,42.68
CTCE.N0000,1992,1,19.5,0,75.71875,12.1,42.68
CTHR.N0000,1992,1,19.5,0,356.6666666666667,12.1,42.68
DFCC.N0000,1992,1,19.5,0,1813.3333333333333,12.1,42.68
DIPD.N0000,1992,1,19.5,0,116.0,12.1,42.68
EAST.N0000,1992,1,19.5,0,40.66666666666666,12.1,42.68
EQIT.N0000,1992,1,19.5,0,17.0,12.1,42.68
GHLL.N0000,1992,1,19.5,0,9.44047619047619,12.1,42.68
GRAN.N0000,1992,1,19.5,0,206.75,12.1,42.68
HAYC.N0000,1992,1,19.5,0,163.375,12.1,42.68
HAYL.N0000,1992,1,19.5,0,425.7105263157895,12.1,42.68
HDEV.N0000,1992,1,19.5,0,35.916666666666664,12.1,42.68
HNB.N0000,1992,1,19.5,0,368.05,12.1,42.68
JKH.N0000,1992,1,19.5,0,256.45,12.1,42.68
LCEM.N0000,1992,1,19.5,0,10.109375,12.1,42.68
LMF.N0000,1992,1,19.5,0,38.225,12.1,42.68
MIRA.N0000,1992,1,19.5,0,43.25,12.1,42.68
MORI.N0000,1992,1,19.5,0,240.0,12.1,42.68
NEST.N0000,1992,1,19.5,0,37.56666666666667,12.1,42.68
ONAL.N0000,1992,1,19.5,0,18.45833333333333,12.1,42.68
