Label,Month,Year,Close (Rs.)
ONAL.N0000,6,1992,17.055555555555557
OSEA.N0000,6,1992,18.583333333333332
PARQ.N0000,6,1992,44.0
PDL.N0000,6,1992,17.34375
RICH.N0000,6,1992,229.0
SAMP.N0000,6,1992,30.214285714285715
SEYB.N0000,6,1992,74.70454545454545
SHOT.N0000,6,1992,71.75
SPEN.N0000,6,1992,271.0
SUGA.N0000,6,1992,34.18181818181818
TILE.N0000,6,1992,73.075
TKYO.N0000,6,1992,28.25
ACL.N0000,7,1992,151.25
ARPI.N0000,7,1992,56.625
ASIR.N0000,7,1992,18.025
BHR.N0000,7,1992,97.90789473684211
BINN.N0000,7,1992,34.0
BOGA.N0000,7,1992,10.284090909090908
CARG.N0000,7,1992,200.0
CFIN.N0000,7,1992,279.675
CFLB.N0000,7,1992,13.333333333333334
CFT.N0000,7,1992,55.333333333333336
CHOU.N0000,7,1992,17.928571428571427
CIC.N0000,7,1992,120.9375
CIND.N0000,7,1992,92.671875
CINV.N0000,7,1992,211.0
COMB.N0000,7,1992,234.88095238095238
CTC.N0000,7,1992,43.0625
CTCE.N0000,7,1992,38.44444444444444
DFCC.N0000,7,1992,1640.409090909091
DIPD.N0000,7,1992,92.5
EAST.N0000,7,1992,36.0625
GHLL.N0000,7,1992,5.722222222222222
GRAN.N0000,7,1992,96.0875
HAYC.N0000,7,1992,119.33333333333333
HAYL.N0000,7,1992,429.46153846153845
HDEV.N0000,7,1992,26.0
HNB.N0000,7,1992,355.9230769230769
JKH.N0000,7,1992,254.07894736842104
KAPI.N0000,7,1992,18.125
LCEM.N0000,7,1992,6.107142857142857
LMF.N0000,7,1992,31.488636363636363
NEST.N0000,7,1992,19.955882352941178
ONAL.N0000,7,1992,16.958333333333332
PARQ.N0000,7,1992,0.0
PDL.N0000,7,1992,17.5
RICH.N0000,7,1992,215.25
SAMP.N0000,7,1992,29.431818181818183
SEYB.N0000,7,1992,67.92045454545455
SHOT.N0000,7,1992,73.20833333333333
SPEN.N0000,7,1992,198.27777777777777
SUGA.N0000,7,1992,27.704545454545453
TILE.N0000,7,1992,72.5125
TKYO.N0000,7,1992,24.821428571428573
ACL.N0000,8,1992,181.7
ARPI.N0000,8,1992,80.5
ASIR.N0000,8,1992,14.607142857142858
BHR.N0000,8,1992,95.8970588235294
BOGA.N0000,8,1992,9.65
CARG.N0000,8,1992,162.0
CFIN.N0000,8,1992,252.5
CFLB.N0000,8,1992,13.75
CFT.N0000,8,1992,55.0
CHOU.N0000,8,1992,15.0
CIC.N0000,8,1992,128.75
CIND.N0000,8,1992,87.47222222222223
COMB.N0000,8,1992,232.96428571428572
CTC.N0000,8,1992,42.8421052631579
CTCE.N0000,8,1992,33.25
DFCC.N0000,8,1992,1582.9
DIPD.N0000,8,1992,45.0
DIST.N0000,8,1992,10.416666666666666
EAST.N0000,8,1992,36.833333333333336
GHLL.N0000,8,1992,6.029411764705882
GRAN.N0000,8,1992,88.64285714285714
HAYC.N0000,8,1992,54.6
HAYL.N0000,8,1992,411.8181818181818
HDEV.N0000,8,1992,25.694444444444443
HNB.N0000,8,1992,373.375
JKH.N0000,8,1992,226.78947368421052
KAPI.N0000,8,1992,10.708333333333334
KZOO.N0000,8,1992,181.125
LCEM.N0000,8,1992,6.038461538461538
LMF.N0000,8,1992,31.6875
NEST.N0000,8,1992,20.272727272727273
OSEA.N0000,8,1992,16.4375
PARQ.N0000,8,1992,73.875
PDL.N0000,8,1992,17.275
RICH.N0000,8,1992,180.65625
SAMP.N0000,8,1992,28.0375
SEYB.N0000,8,1992,60.78947368421053
SHOT.N0000,8,1992,70.0
SPEN.N0000,8,1992,157.07142857142858
SUGA.N0000,8,1992,26.63888888888889
TILE.N0000,8,1992,69.33333333333333
TKYO.N0000,8,1992,18.75
ACL.N0000,9,1992,190.33333333333334
ARPI.N0000,9,1992,60.416666666666664
ASCO.R0000,9,1992,0.5
ASIR.N0000,9,1992,9.714285714285714
BHR.N0000,9,1992,113.0375
BINN.N0000,9,1992,35.0
BOGA.N0000,9,1992,10.4375
CFIN.N0000,9,1992,295.38235294117646
CFLB.N0000,9,1992,18.38888888888889
CHOU.N0000,9,1992,16.208333333333332
CIC.N0000,9,1992,86.40625
CIND.N0000,9,1992,92.265625
CINV.N0000,9,1992,180.0
COMB.N0000,9,1992,234.5625
CTC.N0000,9,1992,44.05263157894737
CTCE.N0000,9,1992,36.25
CTHR.N0000,9,1992,233.33333333333334
DFCC.N0000,9,1992,1688.2
DIPD.N0000,9,1992,76.90625
DIST.N0000,9,1992,11.4375
EAST.N0000,9,1992,34.666666666666664
EQIT.N0000,9,1992,0.0
GHLL.N0000,9,1992,6.184210526315789
GRAN.N0000,9,1992,80.3970588235294
HAYC.N0000,9,1992,87.3076923076923
HAYL.N0000,9,1992,325.03333333333336
HDEV.N0000,9,1992,26.21875
HNB.N0000,9,1992,380.375
JKH.N0000,9,1992,250.234375
KAPI.N0000,9,1992,17.4875
KURU.N0000,9,1992,55.0
LCEM.N0000,9,1992,4.8
LMF.N0000,9,1992,33.8625
LPRT.N0000,9,1992,0.0
NEST.N0000,9,1992,21.365384615384617
ONAL.N0000,9,1992,15.85
OSEA.N0000,9,1992,17.77777777777778
PARQ.N0000,9,1992,61.82142857142857
PDL.N0000,9,1992,15.017857142857142
RICH.N0000,9,1992,205.7
SAMP.N0000,9,1992,31.175
SEYB.N0000,9,1992,71.375
SHOT.N0000,9,1992,44.333333333333336
SPEN.N0000,9,1992,128.8181818181818
SUGA.N0000,9,1992,28.1875
TILE.N0000,9,1992,65.96875
TKYO.N0000,9,1992,23.166666666666668
ACL.N0000,10,1992,196.8
ARPI.N0000,10,1992,91.0
ASIR.N0000,10,1992,17.25
BHR.N0000,10,1992,56.88157894736842
BINN.N0000,10,1992,33.0
BOGA.N0000,10,1992,9.625
BRWN.N0000,10,1992,0.0
CARG.N0000,10,1992,96.66666666666667
CFIN.N0000,10,1992,234.73684210526315
CFLB.N0000,10,1992,18.0
CHOU.N0000,10,1992,15.0
CIC.N0000,10,1992,113.95
CIND.N0000,10,1992,87.85526315789474
COMB.N0000,10,1992,229.28333333333333
CTC.N0000,10,1992,39.53409090909091
CTCE.N0000,10,1992,34.375
CTHR.N0000,10,1992,175.25
DFCC.N0000,10,1992,1702.375
DIPD.N0000,10,1992,58.416666666666664
DIST.N0000,10,1992,11.193181818181818
EAST.N0000,10,1992,31.583333333333332
GHLL.N0000,10,1992,5.930555555555555
GRAN.N0000,10,1992,90.80555555555556
HAYC.N0000,10,1992,84.38461538461539
HAYL.N0000,10,1992,374.0921052631579
HDEV.N0000,10,1992,21.84375
HNB.N0000,10,1992,304.475
JKH.N0000,10,1992,233.3375
KAPI.N0000,10,1992,15.21875
KURU.N0000,10,1992,52.666666666666664
LCEM.N0000,10,1992,6.0
LMF.N0000,10,1992,31.068181818181817
NEST.N0000,10,1992,15.775
ONAL.N0000,10,1992,13.375
OSEA.N0000,10,1992,14.607142857142858
PARA.N0000,10,1992,83.0
PARQ.N0000,10,1992,72.0
PDL.N0000,10,1992,17.264705882352942
RICH.N0000,10,1992,201.78125
SAMP.N0000,10,1992,29.25
SEYB.N0000,10,1992,65.23863636363636
SHOT.N0000,10,1992,65.7
SPEN.N0000,10,1992,208.025
SUGA.N0000,10,1992,23.897727272727273
SUN.N0000,10,1992,29.25
TILE.N0000,10,1992,68.77380952380952
TKYO.N0000,10,1992,18.84090909090909
ACL.N0000,11,1992,207.86363636363637
ARPI.N0000,11,1992,83.875
ASIR.N0000,11,1992,16.181818181818183
BHR.N0000,11,1992,46.785714285714285
BINN.N0000,11,1992,32.5
BOGA.N0000,11,1992,8.125
BRWN.N0000,11,1992,0.0
CARG.N0000,11,1992,190.0
CFIN.N0000,11,1992,307.27272727272725
CFLB.N0000,11,1992,11.46875
CHOU.N0000,11,1992,14.833333333333334
CIC.N0000,11,1992,106.96875
CIC.X0000,11,1992,80.60714285714286
CIND.N0000,11,1992,91.97222222222223
COMB.N0000,11,1992,225.55769230769232
CTC.N0000,11,1992,34.8625
CTCE.N0000,11,1992,32.825
CTHR.N0000,11,1992,350.0
DFCC.N0000,11,1992,1707.075
DIPD.N0000,11,1992,75.27777777777777
DIST.N0000,11,1992,10.725
EAST.N0000,11,1992,33.0
EQIT.N0000,11,1992,16.5
GHLL.N0000,11,1992,5.7894736842105265
GRAN.N0000,11,1992,94.5
HAYC.N0000,11,1992,72.89285714285714
HAYL.N0000,11,1992,343.90625
HDEV.N0000,11,1992,17.6
HNB.N0000,11,1992,374.75
HUEJ.N0000,11,1992,50.0
JFIN.N0000,11,1992,66.5
JKH.N0000,11,1992,221.19736842105263
KAPI.N0000,11,1992,11.475
KURU.N0000,11,1992,44.5
LCEM.N0000,11,1992,5.65
LDEV.N0000,11,1992,0.0
LMF.N0000,11,1992,28.525
