"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"PROPERTY DEVELOPMENT PLC","PDL.N0000","95.00","132.90","76.10","119.20","681.00","179,847.00","21,080,861.70"
"C T LAND DEVELOPMENT PLC","CTLD.N0000","47.90","63.90","26.20","28.10","1,460.00","558,063.00","21,023,493.20"
"BERUWALA RESORTS PLC","BERU.N0000","0.80","0.90","0.50","0.70","2,192.00","30,392,476.00","20,972,447.90"
"SERENDIB HOTELS PLC","SHOT.X0000","16.40","16.70","11.00","16.40","542.00","1,510,798.00","20,629,284.50"
"CEYLON BEVERAGE HOLDINGS PLC","BREW.N0000","700.00","869.90","600.00","731.00","227.00","29,385.00","20,496,808.50"
"RENUKA CITY HOTELS PLC.","RENU.N0000","280.00","356.00","210.00","255.00","601.00","82,474.00","19,809,927.80"
"SOFTLOGIC HOLDINGS PLC","SHL.R0000","8.00","8.00","3.50","5.20","600.00","4,417,261.00","19,428,543.40"
"MADULSIMA  PLANTATIONS  PLC","MADU.N0000","14.10","14.20","5.70","6.30","2,680.00","2,094,065.00","19,072,561.90"
"LANKA VENTURES PLC","LVEN.N0000","52.10","55.00","38.20","42.10","473.00","434,265.00","18,833,778.50"
"EASTERN MERCHANTS PLC","EMER.N0000","6.30","6.40","3.90","4.40","1,589.00","3,601,894.00","18,369,583.60"
"C. W. MACKIE PLC","CWM.N0000","46.00","52.40","40.00","44.00","948.00","391,385.00","18,215,781.80"
"BOGALA GRAPHITE LANKA PLC","BOGA.N0000","13.30","15.70","12.00","13.30","1,197.00","1,250,539.00","17,660,979.80"
"TAL LANKA HOTELS PLC","TAJ.N0000","16.30","19.60","11.30","13.00","1,813.00","1,040,564.00","15,981,380.20"
"EDEN HOTEL LANKA PLC","EDEN.N0000","14.30","18.60","10.00","13.50","1,569.00","1,102,121.00","15,679,875.90"
"ABANS ELECTRICALS PLC","ABAN.N0000","85.00","95.00","55.00","57.70","891.00","190,626.00","14,697,263.40"
"E - CHANNELLING PLC","ECL.N0000","5.80","7.00","4.00","4.30","1,994.00","2,699,754.00","14,676,155.40"
"SIGIRIYA VILLAGE HOTELS PLC","SIGV.N0000","44.90","49.90","37.00","40.30","571.00","339,619.00","14,558,425.60"
"JOHN KEELLS PLC","JKL.N0000","54.80","70.00","48.00","52.50","809.00","249,386.00","14,163,119.90"
"LANKA CERAMIC PLC","CERA.N0000","153.00","178.00","130.00","130.90","213.00","92,741.00","13,517,594.80"
"CARGO BOAT DEVELOPMENT COMPANY PLC","CABO.N0000","85.00","90.90","63.50","73.00","561.00","186,468.00","13,365,292.30"
"DILMAH CEYLON TEA COMPANY PLC","CTEA.N0000","555.00","630.00","530.00","619.80","334.00","22,321.00","13,125,196.80"
"LAKE HOUSE PRINTERS & PUBLISHERS PLC","LPRT.N0000","129.00","172.00","107.50","140.00","151.00","107,357.00","13,108,893.20"
"SMB FINANCE PLC","SEMB.X0000","0.30","0.30","0.20","0.20","1,407.00","58,761,802.00","12,876,628.10"
"CHEMANEX PLC","CHMX.N0000","51.10","70.00","40.00","49.50","545.00","227,490.00","12,686,741.80"
"COMMERCIAL DEVELOPMENT COMPANY PLC","COMD.N0000","71.00","80.00","66.20","70.10","598.00","169,671.00","12,428,293.00"
"BLUE DIAMONDS JEWELLERY WORLDWIDE PLC","BLUE.N0000","1.00","1.20","0.50","0.50","2,116.00","15,655,493.00","12,408,986.30"
"MULTI FINANCE  PLC","MFL.N0000","15.90","16.90","9.20","13.90","1,139.00","900,894.00","12,353,625.40"
"THE FINANCE COMPANY PLC","TFC.N0000","5.20","5.70","2.00","2.00","2,422.00","3,296,152.00","12,270,087.00"
"PEGASUS HOTELS OF CEYLON PLC","PEG.N0000","26.20","33.00","20.00","22.20","1,092.00","445,194.00","11,248,828.60"
"SINHAPUTHRA FINANCE PLC","SFL.P0000","7.70","8.40","4.60","5.20","1,607.00","1,911,398.00","11,186,861.40"
"GALLE FACE CAPITAL PARTNERS PLC","WAPO.N0000","31.00","35.00","19.50","24.00","1,555.00","451,379.00","11,091,342.30"
"THE KANDY HOTELS COMPANY (1938) PLC","KHC.N0000","5.60","6.50","4.70","4.80","1,460.00","2,023,105.00","10,947,390.90"
