"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)","even","even 2","even 3","even 4","even 5","even 6","even 7","even 8"
"PGP GLASS CEYLON PLC","","","","","","","","","GLAS.N0000","9.50","19.60","8.40","18.20","54,567.00","959,469,113.00","11,089,541,176.10"
"PGP GLASS CEYLON PLC","GLAS.N0000","9.50","19.60","8.40","18.20","54,567.00","959,469,113.00","11,089,541,176.10","","","","","","","",""
"SIERRA CABLES PLC","","","","","","","","","SIRA.N0000","6.30","16.70","5.50","14.30","72,036.00","582,203,502.00","5,840,425,373.00"
"LB FINANCE PLC","LFIN.N0000","147.50","348.75","42.60","68.00","56,755.00","72,953,126.00","5,831,240,608.45","","","","","","","",""
"ALUMEX PLC","","","","","","","","","ALUM.N0000","21.00","32.20","9.70","15.90","58,304.00","356,571,058.00","5,803,512,459.70"
"HAYLEYS FABRIC PLC","MGT.N0000","27.80","45.50","13.50","41.20","110,263.00","469,336,051.00","13,435,877,460.30","","","","","","","",""
"HAYLEYS FABRIC PLC","","","","","","","","","MGT.N0000","27.80","45.50","13.50","41.20","110,263.00","469,336,051.00","13,435,877,460.30"
"MELSTACORP PLC","MELS.N0000","52.00","78.00","42.00","56.10","67,510.00","212,843,232.00","11,739,249,179.40","","","","","","","",""
"MELSTACORP PLC","","","","","","","","","MELS.N0000","52.00","78.00","42.00","56.10","67,510.00","212,843,232.00","11,739,249,179.40"
"ROYAL CERAMICS LANKA PLC","RCL.N0000","178.00","439.50","30.50","78.10","237,816.00","706,796,090.00","43,723,345,351.70","","","","","","","",""
"ROYAL CERAMICS LANKA PLC","","","","","","","","","RCL.N0000","178.00","439.50","30.50","78.10","237,816.00","706,796,090.00","43,723,345,351.70"
"SHAW WALLACE INVESTMENTS PLC","KZOO.N0000","7.20","15.10","5.10","12.90","63,317.00","528,109,933.00","5,138,125,186.50","","","","","","","",""
"WINDFORCE PLC","","","","","","","","","WIND.N0000","17.90","19.80","17.50","18.20","24,237.00","266,641,069.00","4,904,817,509.10"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","108.00","121.00","86.60","113.00","44,945.00","46,155,031.00","4,872,915,735.20","","","","","","","",""
"LANKA MILK FOODS (CWE) PLC","","","","","","","","","LMF.N0000","150.00","295.00","137.25","268.75","38,414.00","26,222,127.00","4,795,027,188.65"
"HAYLEYS PLC","HAYL.N0000","415.00","860.00","52.00","130.00","163,012.00","358,803,219.00","40,363,909,741.85","","","","","","","",""
"HAYLEYS PLC","","","","","","","","","HAYL.N0000","415.00","860.00","52.00","130.00","163,012.00","358,803,219.00","40,363,909,741.85"
"Ex-pack Corrugated Cartons PLC","PACK.N0000","16.00","25.40","15.00","21.70","52,706.00","225,901,743.00","4,532,234,878.70","","","","","","","",""
"CEYLON GRAIN ELEVATORS PLC","","","","","","","","","GRAN.N0000","111.00","167.00","104.75","121.75","43,275.00","33,872,694.00","4,451,579,317.85"
"ACL CABLES PLC","ACL.N0000","79.00","130.00","32.50","100.25","117,506.00","202,768,925.00","13,197,678,248.95","","","","","","","",""
"ACL CABLES PLC","","","","","","","","","ACL.N0000","79.00","130.00","32.50","100.25","117,506.00","202,768,925.00","13,197,678,248.95"
"AMBEON HOLDINGS PLC","GREG.N0000","21.00","55.10","15.10","48.90","36,629.00","129,223,847.00","4,354,580,783.80","","","","","","","",""
"HATTON NATIONAL BANK PLC","","","","","","","","","HNB.X0000","101.50","147.75","91.50","122.25","30,857.00","101,561,024.00","11,458,027,775.70"
"HATTON NATIONAL BANK PLC","HNB.X0000","101.50","147.75","91.50","122.25","30,857.00","101,561,024.00","11,458,027,775.70","","","","","","","",""
"SEYLAN BANK PLC","","","","","","","","","SEYB.X0000","33.80","60.00","32.90","33.30","20,451.00","91,793,009.00","4,196,443,172.60"
"DIALOG AXIATA PLC","DIAL.N0000","12.30","12.90","7.90","12.40","30,152.00","372,967,461.00","4,161,645,763.30","","","","","","","",""
"DIALOG AXIATA PLC","","","","","","","","","DIAL.N0000","12.30","12.90","7.90","12.40","30,152.00","372,967,461.00","4,161,645,763.30"
"DIALOG AXIATA PLC","DIAL.N0000","12.30","12.90","7.90","12.40","30,152.00","372,967,461.00","4,161,645,763.30","","","","","","","",""
"RICHARD PIERIS AND COMPANY PLC","","","","","","","","","RICH.N0000","14.80","26.50","13.50","24.60","32,814.00","226,387,419.00","4,078,162,115.20"
"PANASIAN POWER PLC","PAP.N0000","4.10","7.20","3.40","5.50","34,650.00","876,589,586.00","4,041,535,048.30","","","","","","","",""
"AGALAWATTE  PLANTATIONS  PLC","","","","","","","","","AGAL.N0000","27.00","58.00","22.50","53.70","40,912.00","101,304,188.00","3,961,487,323.40"
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","38.60","38.60","20.00","34.80","9,325.00","108,892,374.00","3,934,773,745.50","","","","","","","",""
"SOFTLOGIC LIFE INSURANCE PLC","","","","","","","","","AAIC.N0000","38.60","38.60","20.00","34.80","9,325.00","108,892,374.00","3,934,773,745.50"
"KOTAGALA PLANTATIONS PLC","KOTA.N0000","8.90","9.20","4.20","7.70","66,257.00","560,996,770.00","3,919,364,237.30","","","","","","","",""
"EDEN HOTEL LANKA PLC","","","","","","","","","EDEN.N0000","11.80","39.10","9.20","33.30","51,339.00","184,093,046.00","3,901,019,868.10"
"SMB FINANCE PLC","SEMB.N0000","0.70","2.50","0.30","2.30","35,787.00","3,213,521,740.00","3,887,922,961.50","","","","","","","",""
"WATAWALA  PLANTATIONS  PLC","","","","","","","","","WATA.N0000","25.70","59.90","16.10","56.60","12,239.00","169,445,174.00","3,794,431,189.60"
"WATAWALA  PLANTATIONS  PLC","WATA.N0000","25.70","59.90","16.10","56.60","12,239.00","169,445,174.00","3,794,431,189.60","","","","","","","",""
"WATAWALA  PLANTATIONS  PLC","","","","","","","","","WATA.N0000","25.70","59.90","16.10","56.60","12,239.00","169,445,174.00","3,794,431,189.60"
"KELANI TYRES PLC","TYRE.N0000","86.80","112.00","70.00","98.60","33,592.00","40,477,111.00","3,696,180,987.95","","","","","","","",""
"SOFTLOGIC CAPITAL PLC","","","","","","","","","SCAP.N0000","3.90","9.70","3.00","8.80","53,013.00","597,357,054.00","3,549,343,489.20"
"AITKEN SPENCE PLC","SPEN.N0000","57.60","92.50","48.10","82.40","18,125.00","49,310,233.00","3,472,028,799.90","","","","","","","",""
"CARGILLS (CEYLON) PLC","","","","","","","","","CARG.N0000","201.00","260.00","201.00","215.25","4,175.00","14,441,503.00","3,437,469,540.90"
"KELANI TYRES PLC","TYRE.N0000","86.80","112.00","70.00","98.60","33,592.00","40,477,111.00","3,696,180,987.95","","","","","","","",""
"KELANI TYRES PLC","","","","","","","","","TYRE.N0000","86.80","112.00","70.00","98.60","33,592.00","40,477,111.00","3,696,180,987.95"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","86.00","135.00","79.80","93.00","26,206.00","31,353,189.00","3,129,125,715.10","","","","","","","",""
"INDUSTRIAL ASPHALTS (CEYLON) PLC","","","","","","","","","ASPH.N0000","0.30","1.50","0.20","0.70","60,217.00","4,746,440,929.00","3,088,582,122.50"
"CENTRAL INDUSTRIES PLC","CIND.N0000","124.90","250.00","95.00","211.75","31,309.00","21,383,355.00","3,088,214,153.95","","","","","","","",""
"LANKA REALTY INVESTMENTS PLC","","","","","","","","","ASCO.N0000","37.50","41.90","24.60","26.00","21,395.00","113,582,504.00","3,055,000,720.30"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","78.50","105.75","67.90","68.90","31,141.00","37,196,832.00","3,050,131,250.75","","","","","","","",""
"CHEVRON LUBRICANTS  LANKA  PLC","","","","","","","","","LLUB.N0000","108.00","121.00","86.60","113.00","44,945.00","46,155,031.00","4,872,915,735.20"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","108.00","121.00","86.60","113.00","44,945.00","46,155,031.00","4,872,915,735.20","","","","","","","",""
"C I C HOLDINGS PLC","","","","","","","","","CIC.N0000","185.00","188.80","42.30","65.00","45,839.00","118,336,992.00","6,811,767,870.60"
"C I C HOLDINGS PLC","CIC.N0000","185.00","188.80","42.30","65.00","45,839.00","118,336,992.00","6,811,767,870.60","","","","","","","",""
"B P P L HOLDINGS PLC","","","","","","","","","BPPL.N0000","15.70","31.80","12.50","28.20","19,140.00","162,739,649.00","2,950,681,507.90"
"AMBEON CAPITAL PLC","TAP.N0000","6.20","28.70","4.50","18.00","51,399.00","188,528,791.00","2,944,254,068.10","","","","","","","",""
"NATIONS TRUST BANK PLC","","","","","","","","","NTB.N0000","80.00","80.00","52.60","60.00","12,821.00","46,544,988.00","2,920,941,098.90"
"NATIONS TRUST BANK PLC","NTB.N0000","80.00","80.00","52.60","60.00","12,821.00","46,544,988.00","2,920,941,098.90","","","","","","","",""
"HAYCARB PLC","","","","","","","","","HAYC.N0000","573.00","1,700.00","68.00","76.80","132,573.00","83,947,508.00","11,858,120,590.90"
"HAYCARB PLC","HAYC.N0000","573.00","1,700.00","68.00","76.80","132,573.00","83,947,508.00","11,858,120,590.90","","","","","","","",""
"R I L PROPERTY PLC","","","","","","","","","RIL.N0000","8.70","16.70","5.50","14.30","72,898.00","634,728,945.00","7,085,859,565.90"
"R I L PROPERTY PLC","RIL.N0000","8.70","16.70","5.50","14.30","72,898.00","634,728,945.00","7,085,859,565.90","","","","","","","",""
