"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"ODEL PLC","ODEL.N0000","21.00","28.00","18.80","22.00","9,018.00","144,529,821.00","3,182,358,270.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","23.40","54.90","23.40","46.90","13,974.00","80,990,341.00","3,144,956,160.00"
"SEYLAN BANK PLC","SEYB.N0000","63.90","102.00","58.60","95.00","5,525.00","38,764,141.00","3,089,871,100.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","29.00","73.00","28.30","64.90","13,572.00","63,021,630.00","3,038,454,020.00"
"JOHN KEELLS HOLDINGS PLC","JKH.W0023","92.20","98.20","58.80","72.50","15,818.00","40,009,363.00","2,957,195,780.00"
"JANASHAKTHI INSURANCE PLC","JINS.N0000","12.70","25.10","12.70","23.20","20,210.00","139,745,057.00","2,600,217,600.00"
"HATTON NATIONAL BANK PLC","HNB.X0000","119.00","153.20","116.60","152.90","7,217.00","18,129,057.00","2,466,721,020.00"
"SOFTLOGIC HOLDINGS PLC","SHL.N0000","8.50","20.40","8.40","16.50","21,538.00","183,523,425.00","2,463,890,180.00"
"JOHN KEELLS HOLDINGS PLC","JKH.W0022","79.00","90.50","55.20","68.00","16,341.00","34,651,502.00","2,421,266,430.00"
"ROYAL CERAMICS LANKA PLC","RCL.N0000","85.90","125.00","77.00","116.90","4,304.00","22,991,440.00","2,415,154,940.00"
"VALLIBEL POWER ERATHNA PLC","VPEL.N0000","5.80","7.80","5.40","7.20","14,500.00","353,852,504.00","2,360,877,570.00"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","1,188.80","1,349.00","0.00","1,060.10","3,838.00","2,000,947.00","2,286,346,750.00"
"SUNSHINE HOLDINGS PLC","SUN.N0000","28.50","63.50","28.00","54.00","6,487.00","57,732,595.00","2,202,097,410.00"
"ASIRI HOSPITAL HOLDINGS PLC","ASIR.N0000","16.20","25.40","15.60","21.60","10,264.00","98,813,214.00","2,111,214,080.00"
"FIRST CAPITAL HOLDINGS PLC","CFVF.N0000","17.60","58.60","17.50","47.00","27,483.00","55,198,505.00","2,089,804,290.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","93.90","125.50","91.30","125.10","7,382.00","19,648,816.00","2,087,177,090.00"
"TRADE FINANCE & INVESTMENTS PLC","TFIL.N0000","13.40","47.50","13.10","27.00","10,277.00","76,387,242.00","2,009,695,740.00"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","176.00","270.00","175.00","250.00","3,372.00","8,614,796.00","2,007,657,340.00"
"PAN ASIA BANKING CORPORATION PLC","PABC.N0000","15.50","27.20","15.50","25.90","11,064.00","90,966,957.00","1,971,373,440.00"
"RESUS ENERGY PLC","HPWR.N0000","17.70","20.00","16.50","18.10","3,831.00","105,886,995.00","1,895,525,630.00"
"LAUGFS GAS PLC","LGL.N0000","28.40","44.90","28.40","40.50","11,135.00","44,512,952.00","1,737,191,420.00"
"COMMERCIAL CREDIT AND FINANCE PLC","COCR.N0000","10.60","49.10","10.60","45.30","23,971.00","53,845,529.00","1,722,100,990.00"
"AMBEON HOLDINGS PLC","GREG.N0000","14.20","18.00","10.50","15.60","21,069.00","118,373,162.00","1,688,896,130.00"
"KELANI TYRES PLC","TYRE.N0000","50.00","82.50","49.50","78.80","9,179.00","25,168,773.00","1,659,500,420.00"
"NESTLE LANKA PLC","NEST.N0000","2,100.40","2,444.00","1,890.00","2,105.00","2,727.00","777,857.00","1,605,643,520.00"
"VALLIBEL ONE PLC","VONE.N0000","16.70","27.90","15.60","23.90","14,836.00","70,664,354.00","1,491,139,970.00"
"UNITED MOTORS LANKA PLC","UML.N0000","114.00","154.00","96.10","103.60","5,986.00","12,140,075.00","1,465,859,070.00"
"ADAM CAPITAL PLC","PCHH.N0000","1.20","4.50","0.60","2.40","20,082.00","631,547,295.00","1,464,393,340.00"
"CHILAW FINANCE PLC","CFL.N0000","12.70","34.70","12.60","27.10","9,625.00","60,530,913.00","1,443,823,620.00"
"OVERSEAS REALTY (CEYLON) PLC","OSEA.N0000","18.50","29.30","18.50","26.30","11,646.00","59,804,709.00","1,418,778,620.00"
"LAUGFS GAS PLC","LGL.X0000","21.70","40.20","21.60","37.20","19,629.00","45,203,461.00","1,411,696,380.00"
"MTD WALKERS PLC","KAPI.N0000","32.10","80.80","28.10","60.30","17,308.00","27,309,557.00","1,404,016,770.00"
"C I C HOLDINGS PLC","CIC.N0000","47.90","93.00","45.00","85.00","5,443.00","19,570,674.00","1,394,311,940.00"
"PGP GLASS CEYLON PLC","GLAS.N0000","4.50","5.40","3.30","4.90","23,420.00","318,413,859.00","1,361,117,570.00"
"ASIA ASSET FINANCE PLC","AAF.N0000","1.90","2.10","1.60","1.90","15,091.00","750,609,096.00","1,346,279,040.00"
"PRIME FINANCE PLC","GSF.N0000","410.10","459.00","24.60","25.30","26,019.00","43,506,390.00","1,311,021,950.00"
"ARPICO FINANCE COMPANY PLC","ARPI.N0000","109.50","170.00","64.00","150.10","5,381.00","8,510,848.00","1,293,033,340.00"
"AITKEN SPENCE HOTEL HOLDINGS PLC","AHUN.N0000","69.90","87.00","64.70","78.50","3,639.00","16,183,930.00","1,278,141,570.00"
"THE FINANCE COMPANY PLC","TFC.X0000","3.70","9.60","3.70","8.00","31,079.00","168,692,202.00","1,271,162,370.00"
"CITIZENS DEVELOPMENT BUSINESS FINANCE PLC","CDB.N0000","43.00","98.50","42.00","93.70","5,225.00","14,120,036.00","1,175,215,740.00"
"ENTRUST SECURITIES PLC","ESL.N0000","17.80","69.70","16.40","58.00","12,021.00","43,076,856.00","1,154,124,670.00"
"BROWNS INVESTMENTS PLC","BIL.N0000","2.30","2.70","1.30","1.90","16,289.00","629,611,897.00","1,121,102,460.00"
"HAYLEYS FABRIC PLC","MGT.N0000","11.10","20.40","9.90","17.40","15,696.00","76,287,827.00","1,115,460,740.00"
"HAYLEYS PLC","HAYL.N0000","293.00","365.00","0.00","339.90","1,685.00","3,426,639.00","1,104,300,670.00"
"SANASA DEVELOPMENT BANK PLC","SDB.N0000","77.40","124.00","73.50","90.90","24,450.00","11,631,552.00","1,095,131,520.00"
"BUKIT DARAH PLC","BUKI.N0000","619.00","750.00","538.00","715.00","2,150.00","1,668,014.00","1,071,602,880.00"
"LION BREWERY (CEYLON) PLC","LION.N0000","357.00","740.00","0.00","654.60","1,418.00","1,814,343.00","1,059,757,630.00"
"PANASIAN POWER PLC","PAP.N0000","2.40","3.30","2.20","3.20","9,598.00","402,667,794.00","1,055,107,140.00"
"SOFTLOGIC CAPITAL PLC","SCAP.N0000","4.00","8.80","3.60","7.20","9,244.00","150,675,180.00","1,016,920,640.00"
"CEYLON INVESTMENT PLC","CINV.N0000","79.00","114.00","73.10","97.50","6,704.00","9,369,145.00","895,210,944.00"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","6.30","9.50","6.30","8.50","11,442.00","111,548,440.00","891,360,320.00"
"L O L C DEVELOPMENT FINANCE PLC","NIFL.N0000","7.50","13.70","0.00","9.30","9,425.00","88,906,458.00","884,787,904.00"
"COLOMBO DOCKYARD PLC","DOCK.N0000","186.00","210.00","173.20","193.00","2,467.00","4,478,767.00","871,522,432.00"
"SWISSTEK (CEYLON) PLC","PARQ.N0000","17.80","40.80","17.60","38.00","8,475.00","26,342,678.00","827,586,304.00"
"NATION LANKA FINANCE PLC","CSF.N0000","7.30","9.70","4.80","4.90","21,847.00","110,789,345.00","810,579,520.00"
"JANASHAKTHI PLC","CSEC","11.40","40.90","11.40","32.90","15,893.00","31,579,407.00","803,001,280.00"
"AMANA BANK PLC","ABL.N0000","7.00","7.10","4.90","5.10","6,302.00","123,709,251.00","798,205,056.00"
"CEYLON GUARDIAN INVESTMENT TRUST PLC","GUAR.N0000","182.00","210.00","150.00","194.90","2,459.00","4,008,331.00","783,520,768.00"
"COLOMBO LAND AND DEVELOPMENT COMPANY PLC","CLND.N0000","39.90","47.00","33.00","36.80","9,415.00","19,483,795.00","771,939,968.00"
"SEYLAN DEVELOPMENTS PLC","CSD.N0000","9.00","16.30","9.00","14.10","9,417.00","59,754,344.00","768,807,296.00"
"RENUKA FOODS PLC","COCO.N0000","16.50","29.00","15.30","26.70","10,987.00","35,346,840.00","761,724,416.00"
"SMB FINANCE PLC","SEMB.N0000","0.80","1.80","0.80","1.40","13,351.00","527,271,051.00","753,161,472.00"
"CARGILLS (CEYLON) PLC","CARG.N0000","150.00","168.50","125.00","153.00","1,542.00","4,976,896.00","750,279,552.00"
"ACL CABLES PLC","ACL.N0000","66.00","83.90","60.00","76.40","4,004.00","9,983,775.00","747,764,544.00"
"PC PHARMA PLC","PCP.N0000","1.40","3.40","0.60","1.40","17,325.00","354,548,374.00","735,855,424.00"
"MILLENNIUM HOUSING DEVELOPERS PLC","MHDL.N0000","6.60","7.20","5.00","6.00","4,426.00","137,578,261.00","734,039,552.00"
"ADAM INVESTMENTS PLC","AINV.N0000","3.50","6.20","3.30","3.90","11,304.00","151,887,408.00","729,499,392.00"
"SINGER FINANCE LANKA PLC","SFIN.N0000","11.90","20.30","11.50","19.00","16,403.00","45,803,980.00","726,476,224.00"
"SINHAPUTHRA FINANCE PLC","SFL.N0000","85.00","259.00","83.40","186.70","2,933.00","3,126,955.00","718,761,536.00"
"AMBEON CAPITAL PLC","TAP.N0000","2.90","5.80","2.40","4.60","10,479.00","178,994,551.00","716,788,864.00"
"RENUKA AGRI FOODS PLC","RAL.N0000","3.70","5.20","3.10","4.80","11,739.00","176,370,535.00","708,484,608.00"
"WATAWALA  PLANTATIONS  PLC","WATA.N0000","10.00","21.00","9.20","18.80","10,405.00","45,210,479.00","702,100,416.00"
"THE FINANCE COMPANY PLC","TFC.N0000","10.10","24.70","9.90","21.00","15,683.00","41,390,493.00","698,427,776.00"
"SIERRA CABLES PLC","SIRA.N0000","1.80","4.10","1.60","3.90","15,087.00","265,655,591.00","694,670,720.00"
"BROWNS CAPITAL PLC","FLCH.N0000","2.20","2.60","1.80","2.00","15,806.00","310,754,964.00","688,915,264.00"
"SRI LANKA TELECOM PLC","SLTL.N0000","37.00","57.30","33.00","49.90","6,629.00","14,696,347.00","682,114,304.00"
"THE LANKA HOSPITALS CORPORATION PLC","LHCL.N0000","40.50","58.30","40.00","48.00","5,129.00","13,297,299.00","677,623,104.00"
"CEYLON COLD STORES PLC","CCS.N0000","149.90","275.00","138.00","265.00","2,046.00","3,101,060.00","676,802,176.00"
"CITRUS LEISURE PLC","REEF.N0000","15.00","22.00","13.50","16.80","6,748.00","41,280,851.00","661,385,664.00"
"THE COLOMBO FORT LAND AND BUILDING PLC","CFLB.N0000","28.50","35.00","24.60","28.30","8,585.00","21,163,157.00","657,229,056.00"
"LANKA WALLTILE PLC","LWL.N0000","54.50","105.00","54.00","97.30","4,141.00","7,647,826.00","643,071,104.00"
"BROWN & COMPANY PLC","BRWN.N0000","85.00","121.00","85.00","107.00","6,040.00","6,175,701.00","630,578,496.00"
"BAIRAHA FARMS PLC","BFL.N0000","129.80","149.50","118.00","125.00","3,276.00","4,585,548.00","618,166,336.00"
"E - CHANNELLING PLC","ECL.N0000","12.40","18.20","11.50","13.50","9,085.00","41,759,941.00","594,333,120.00"
"MULTI FINANCE  PLC","MFL.N0000","16.40","38.50","14.10","27.10","7,563.00","29,065,706.00","589,081,920.00"
"LANKA ASHOK LEYLAND PLC","ASHO.N0000","1,301.10","1,900.00","1,202.00","1,473.50","521.00","346,872.00","587,766,720.00"
"DIALOG FINANCE PLC","CALF.N0000","15.10","21.40","12.10","15.50","6,935.00","37,023,836.00","583,526,976.00"
"DIESEL & MOTOR ENGINEERING PLC","DIMO.N0000","495.00","730.00","485.00","636.00","2,433.00","982,605.00","582,158,400.00"
"LB FINANCE PLC","LFIN.N0000","104.60","183.00","96.00","166.00","3,819.00","3,862,485.00","577,277,632.00"
"DIPPED PRODUCTS PLC","DIPD.N0000","90.00","147.50","86.00","143.00","2,791.00","4,546,769.00","567,554,880.00"
"HVA FOODS PLC","HVA.N0000","9.90","13.30","9.00","10.20","15,914.00","50,782,779.00","563,106,624.00"
"CENTRAL INVESTMENTS & FINANCE PLC","CIFL.N0000","1.00","2.80","0.60","1.50","17,301.00","312,044,853.00","550,008,256.00"
"CEYLON GRAIN ELEVATORS PLC","GRAN.N0000","36.40","46.90","33.10","41.00","9,988.00","13,246,493.00","540,935,552.00"
"RENUKA HOLDINGS PLC","RHL.N0000","30.50","43.00","26.60","31.50","6,717.00","15,480,167.00","537,241,856.00"
"HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL","HDFC.N0000","29.90","75.00","29.90","66.10","7,208.00","10,400,149.00","527,008,864.00"
"UNISYST ENGINEERING PLC","ALUF.N0000","15.50","33.40","12.80","30.00","10,148.00","21,026,722.00","511,313,824.00"
"BLUE DIAMONDS JEWELLERY WORLDWIDE PLC","BLUE.N0000","3.50","4.20","1.70","1.70","14,796.00","153,223,020.00","508,627,616.00"
"VALLIBEL FINANCE PLC","VFIN.N0000","29.00","48.80","27.90","46.00","7,650.00","11,170,160.00","458,015,360.00"
"JOHN KEELLS HOTELS PLC","KHL.N0000","12.50","19.20","12.10","17.00","6,774.00","28,714,158.00","448,013,344.00"
"LANKA MILK FOODS (CWE) PLC","LMF.N0000","112.00","139.00","102.60","120.40","2,068.00","3,568,621.00","444,439,936.00"
"MERCHANT BANK OF SRI LANKA & FINANCE PLC","MBSL.N0000","13.40","19.90","13.20","17.50","11,399.00","26,056,267.00","442,744,096.00"
"AMANA TAKAFUL PLC","ATL.N0000","1.60","2.10","1.20","1.80","8,246.00","240,449,365.00","437,562,944.00"
"ASIAN HOTELS AND PROPERTIES PLC","AHPL.N0000","64.00","75.00","57.00","67.80","2,305.00","6,276,942.00","431,694,080.00"
"RICHARD PIERIS EXPORTS PLC","REXP.N0000","44.60","184.00","44.60","158.50","6,037.00","4,357,146.00","427,454,496.00"
"CEYLINCO INSURANCE PLC","CINS.N0000","1,345.00","1,499.80","0.00","1,378.80","738.00","310,264.00","411,735,584.00"
"C M HOLDINGS PLC","COLO.N0000","80.20","145.00","78.00","129.10","5,442.00","3,602,300.00","410,996,544.00"
"DANKOTUWA PORCELAIN PLC","DPL.N0000","12.90","18.30","11.30","14.50","14,745.00","27,894,032.00","399,849,888.00"
"CARSON CUMBERBATCH PLC","CARS.N0000","350.00","500.00","340.00","430.40","1,654.00","961,314.00","398,069,248.00"
"CEYLINCO INSURANCE PLC","CINS.X0000","400.00","598.00","395.00","550.00","1,074.00","770,878.00","385,870,176.00"
"REGNIS (LANKA) PLC","REG.N0000","66.20","90.00","60.00","77.10","4,219.00","5,030,438.00","383,738,240.00"
"LEE HEDGES PLC","SHAW.N0000","258.00","485.00","246.00","450.30","2,669.00","1,102,900.00","382,419,776.00"
"L O L C HOLDINGS PLC","LOLC.N0000","73.00","102.00","70.20","88.00","3,041.00","4,513,688.00","378,672,800.00"
"C T HOLDINGS PLC","CTHR.N0000","140.10","170.50","130.00","143.00","916.00","2,524,782.00","376,859,200.00"
"HNB ASSURANCE PLC","HASU.N0000","52.50","98.00","52.20","83.50","3,111.00","4,937,695.00","373,672,896.00"
"ALUMEX PLC","ALUM.N0000","15.00","17.70","13.90","15.90","4,746.00","23,959,825.00","371,237,760.00"
"AMBEON HOLDINGS PLC","GREG.W0006","1.30","3.60","0.10","0.10","16,354.00","396,132,030.00","335,206,048.00"
"C I C HOLDINGS PLC","CIC.X0000","35.50","72.00","34.00","66.40","3,497.00","5,839,418.00","332,281,440.00"
"SOFTLOGIC FINANCE PLC","CRL.N0000","25.30","49.20","24.60","43.90","4,764.00","8,258,835.00","325,052,160.00"
"LOLC FINANCE PLC","LOFC.N0000","2.70","4.50","2.70","4.10","6,060.00","90,982,245.00","324,319,328.00"
"SERENDIB HOTELS PLC","SHOT.N0000","28.10","37.00","0.00","32.80","1,025.00","10,340,233.00","317,724,224.00"
"LAXAPANA BATTERIES PLC","LITE.N0000","4.10","6.70","3.40","5.40","8,088.00","58,257,311.00","300,315,328.00"
"EAST WEST PROPERTIES PLC","EAST.N0000","11.60","14.70","11.00","12.80","8,664.00","22,254,919.00","291,863,328.00"
"THREE ACRE FARMS PLC","TAFL.N0000","37.40","61.90","31.70","51.00","7,780.00","5,773,721.00","289,490,720.00"
"LANKA TILES PLC","TILE.N0000","74.00","117.50","70.00","110.00","1,430.00","3,045,906.00","288,826,816.00"
"SHALIMAR (MALAY) PLC.","SHAL.N0000","990.00","2,488.00","881.50","1,800.00","495.00","193,461.00","286,799,200.00"
"ORIENT GARMENTS PLC","OGL.N0000","8.00","28.60","7.90","15.00","6,241.00","24,254,621.00","282,118,048.00"
"ALLIANCE FINANCE COMPANY PLC","ALLI.N0000","784.00","929.00","709.00","850.00","2,392.00","346,780.00","277,996,832.00"
"LANKA REALTY INVESTMENTS PLC","ASCO.N0000","125.30","139.50","78.50","95.00","5,498.00","2,768,072.00","276,404,256.00"
"SINGER (SRI LANKA) PLC","SINS.N0000","89.00","128.90","82.00","117.90","2,168.00","2,795,975.00","275,587,200.00"
"TOUCHWOOD INVESTMENTS PLC","TWOD.N0000","2.80","3.70","2.00","2.60","9,752.00","90,139,191.00","268,169,968.00"
"CENTRAL INDUSTRIES PLC","CIND.N0000","55.90","99.00","55.00","86.00","2,658.00","3,471,554.00","263,643,648.00"
"CITIZENS DEVELOPMENT BUSINESS FINANCE PLC","CDB.X0000","36.00","82.00","30.10","74.00","3,955.00","4,275,218.00","263,629,504.00"
"LANKA CEMENT PLC","LCEM.N0000","7.00","12.60","3.00","6.60","13,921.00","36,139,591.00","257,432,480.00"
"TESS AGRO PLC","TESS.N0000","1.30","2.00","1.10","1.60","10,745.00","161,549,927.00","245,857,040.00"
"ASIRI SURGICAL HOSPITAL PLC","AMSL.N0000","10.30","18.50","10.30","17.00","7,054.00","17,627,148.00","245,110,992.00"
"THE KINGSBURY PLC","SERV.N0000","13.50","19.60","12.00","18.00","4,563.00","15,593,737.00","241,322,720.00"
"MARAWILA  RESORTS  PLC","MARA.N0000","5.30","7.60","4.70","6.00","7,143.00","39,116,285.00","240,298,016.00"
"ACME PRINTING & PACKAGING PLC","ACME.N0000","9.80","19.70","8.60","11.00","7,256.00","16,917,652.00","239,628,128.00"
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","86.90","163.00","80.00","143.00","1,939.00","1,747,731.00","229,600,944.00"
"HAYLEYS LEISURE PLC","CONN.N0000","73.20","91.90","68.30","85.00","1,206.00","2,818,198.00","229,021,696.00"
"CITRUS LEISURE  PLC","REEF.W0019","1.40","3.10","0.90","1.40","9,914.00","116,939,416.00","213,821,056.00"
"KELSEY DEVELOPMENTS PLC","KDL.N0000","19.30","49.40","14.60","43.00","2,398.00","6,356,328.00","207,472,064.00"
"THE FORTRESS RESORTS PLC","RHTL.N0000","13.90","21.00","12.70","16.90","2,782.00","10,789,790.00","202,441,040.00"
"TESS AGRO PLC","TESS.X0000","1.00","1.90","1.00","1.30","4,751.00","150,744,738.00","199,111,040.00"
"KEGALLE  PLANTATIONS  PLC","KGAL.N0000","96.80","109.90","90.00","94.00","2,203.00","2,019,758.00","198,344,656.00"
"ACL PLASTICS PLC","APLA.N0000","84.10","148.00","77.00","125.00","2,354.00","1,729,079.00","197,847,584.00"
"RENUKA HOLDINGS PLC","RHL.X0000","21.50","36.10","20.00","23.50","4,197.00","7,540,960.00","196,968,528.00"
"AGSTAR PLC","AGST.N0000","4.90","6.20","4.10","5.70","6,382.00","38,957,446.00","195,876,272.00"
"ANILANA HOTELS AND PROPERTIES PLC","ALHP.N0000","7.40","8.50","5.40","7.90","4,521.00","30,107,005.00","195,121,968.00"
"NAWALOKA HOSPITALS PLC","NHL.N0000","3.00","3.90","2.80","3.30","4,357.00","56,533,064.00","191,024,848.00"
"GALLE FACE CAPITAL PARTNERS PLC","WAPO.N0000","29.20","53.00","25.00","43.50","7,877.00","4,698,417.00","189,493,248.00"
"CEYLON LEATHER PRODUCTS PLC","CLPL.N0000","66.50","102.90","55.00","87.90","3,562.00","2,379,364.00","189,049,792.00"
"KOTAGALA PLANTATIONS PLC","KOTA.N0000","37.50","42.00","30.60","31.60","3,328.00","5,063,039.00","185,569,456.00"
"KALPITIYA BEACH RESORT PLC","CITK.N0000","5.80","6.40","4.80","4.90","5,817.00","32,133,960.00","184,743,424.00"
"BALANGODA  PLANTATIONS  PLC","BALA.N0000","30.70","35.00","24.30","26.50","4,115.00","6,042,740.00","183,741,808.00"
"HORANA PLANTATIONS PLC","HOPL.N0000","23.80","29.40","21.50","24.10","3,007.00","7,056,335.00","182,587,904.00"
"ORIENT FINANCE PLC REMOVED","ORIN.N0000","14.00","16.40","11.80","13.50","2,812.00","12,437,792.00","180,880,928.00"
"BLUE DIAMONDS JEWELLERY WORLDWIDE PLC","BLUE.X0000","1.30","1.50","0.70","0.80","10,224.00","162,784,066.00","178,773,136.00"
"LANKEM CEYLON PLC","LCEY.N0000","124.20","134.00","94.00","110.10","2,495.00","1,456,637.00","175,649,072.00"
"SERENDIB HOTELS PLC","SHOT.X0000","15.70","27.30","15.40","23.30","1,738.00","8,043,711.00","175,213,312.00"
"SMB FINANCE PLC","SEMB.X0000","0.30","0.70","0.30","0.50","7,234.00","341,213,576.00","170,372,896.00"
"RAIGAM WAYAMBA SALTERNS PLC","RWSL.N0000","2.20","3.60","2.10","3.10","4,869.00","59,427,496.00","170,010,464.00"
"HAYCARB PLC","HAYC.N0000","189.00","200.00","170.00","173.00","1,165.00","894,616.00","168,355,536.00"
"PMF FINANCE PLC","PMB.N0000","11.00","29.30","10.90","25.50","3,761.00","8,019,553.00","164,836,064.00"
"BROWNS BEACH HOTELS PLC","BBH.N0000","19.10","30.00","17.90","26.00","4,484.00","6,835,872.00","163,992,816.00"
"MALWATTE VALLEY PLANTATION PLC","MAL.N0000","4.50","5.40","3.70","4.50","6,707.00","33,602,516.00","159,152,656.00"
"GALADARI HOTELS (LANKA) PLC","GHLL.N0000","11.50","16.40","10.00","14.50","7,516.00","11,338,019.00","158,697,488.00"
"CHEMANEX PLC","CHMX.N0000","85.30","98.80","68.70","80.00","1,407.00","1,871,260.00","157,718,208.00"
"VIDULLANKA PLC","VLL.N0000","3.60","6.30","3.40","5.70","2,829.00","35,841,755.00","150,308,048.00"
"THE KANDY HOTELS COMPANY (1938) PLC","KHC.N0000","7.20","10.70","6.40","8.60","6,662.00","17,020,131.00","150,151,664.00"
"MULLER & PHIPPS (CEYLON) PLC","MULL.N0000","1.20","2.00","1.10","1.50","6,740.00","98,291,721.00","149,412,320.00"
"CEYLON LEATHER PRODUCTS PLC","CLPL.W0014","1.60","4.90","0.40","2.60","11,442.00","52,723,358.00","146,630,640.00"
"JOHN KEELLS PLC","JKL.N0000","72.20","94.50","66.00","90.30","1,798.00","1,711,627.00","144,410,224.00"
"PROPERTY DEVELOPMENT PLC","PDL.N0000","62.00","126.00","56.00","98.00","1,213.00","1,719,112.00","144,353,424.00"
"C T LAND DEVELOPMENT PLC","CTLD.N0000","31.00","44.00","28.50","39.60","2,111.00","3,922,582.00","143,805,408.00"
"DOLPHIN HOTELS PLC","STAF.N0000","44.20","60.00","40.50","55.20","1,527.00","2,774,278.00","143,479,744.00"
"SWARNAMAHAL FINANCIAL SERVICES PLC","SFS.N0000","2.20","3.00","1.90","2.10","6,678.00","57,849,091.00","142,427,408.00"
"ASIA SIYAKA COMMODITIES LIMITED","ASIY.N0000","3.20","3.70","2.90","3.30","4,195.00","41,334,674.00","141,897,040.00"
"CEYLON & FOREIGN TRADES PLC","CFT.N0000","6.50","9.00","5.10","7.50","6,794.00","19,409,964.00","140,540,672.00"
"LUCKY LANKA MILK PROCESSING COMPANY PLC","LLMP.X0000","3.50","3.80","2.60","2.80","4,180.00","42,505,940.00","140,315,376.00"
"KOTMALE HOLDINGS PLC","LAMB.N0000","53.80","72.00","50.00","60.00","1,866.00","2,370,474.00","135,750,112.00"
"ELPITIYA PLANTATIONS PLC","ELPL.N0000","16.60","28.00","16.50","22.70","3,864.00","5,665,880.00","133,974,008.00"
"NAMAL ACUITY VALUE FUND","NAVF.U0000","66.80","98.90","65.20","90.10","940.00","1,680,292.00","131,872,488.00"
"TAL LANKA HOTELS PLC","TAJ.N0000","27.60","38.00","27.60","34.40","4,191.00","3,827,894.00","125,827,584.00"
"PC HOUSE PLC","PCH.N0000","0.60","0.70","0.20","0.20","11,961.00","341,986,703.00","125,550,984.00"
"YORK ARCADE HOLDINGS PLC","YORK.N0000","14.00","20.40","12.70","16.80","6,395.00","7,239,701.00","121,354,088.00"
"SINGER INDUSTRIES (CEYLON) PLC","SINI.N0000","117.00","244.40","95.00","198.00","3,849.00","731,380.00","119,783,368.00"
"LANKEM DEVELOPMENTS PLC","LDEV.N0000","5.20","8.90","4.20","7.30","5,931.00","16,763,456.00","115,304,272.00"
"C. W. MACKIE PLC","CWM.N0000","59.90","68.20","55.00","59.00","2,625.00","1,824,746.00","113,176,328.00"
