"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"VIDULLANKA PLC","VLL.N0000","21.00","25.50","12.00","19.50","1,672.00","7,483,600.00","166,848,075.00"
"AGALAWATTE  PLANTATIONS  PLC","AGAL.N0000","10.50","49.00","10.00","11.00","3,600.00","4,696,200.00","166,296,850.00"
"SIERRA CABLES PLC","SIRA.N0000","2.75","2.10","1.00","1.10","7,839.00","94,133,600.00","160,593,370.00"
"BAIRAHA FARMS PLC","BFL.N0000","16.50","19.25","7.25","8.00","5,252.00","9,909,400.00","157,858,975.00"
"AITKEN SPENCE HOTEL HOLDINGS PLC","AHUN.N0000","65.00","119.00","60.75","95.00","911.00","1,697,800.00","157,194,825.00"
"CHEMANEX PLC","CHMX.N0000","78.75","160.00","37.00","40.00","3,713.00","2,752,300.00","156,771,375.00"
"MALWATTE VALLEY PLANTATION PLC","MAL.N0000","8.50","68.00","18.00","19.00","2,587.00","3,062,300.00","156,608,375.00"
"SINGER (SRI LANKA) PLC","SINS.N0000","66.75","67.25","31.25","32.00","1,518.00","2,558,600.00","155,552,700.00"
"E B CREASY & COMPANY PLC","EBCR.N0000","205.00","324.75","152.00","235.00","185.00","563,400.00","150,994,575.00"
"ASIAN HOTELS AND PROPERTIES PLC","AHPL.N0000","42.75","43.00","23.50","24.75","1,618.00","4,055,600.00","149,468,875.00"
"LB FINANCE PLC","LFIN.N0000","60.00","27.75","15.00","15.50","4,848.00","6,890,200.00","148,626,350.00"
"CEYLON INVESTMENT PLC","CINV.N0000","71.50","95.00","40.00","45.00","2,697.00","1,907,000.00","145,851,350.00"
"HOTEL DEVELOPERS (LANKA) PLC","HDEV.N0000","99.75","88.75","28.25","32.50","4,410.00","2,209,800.00","140,519,250.00"
"JANASHAKTHI PLC","CSEC","17.50","11.50","2.90","3.10","5,371.00","17,213,215.00","138,871,835.00"
"SEYLAN DEVELOPMENTS PLC","CSD.N0000","8.50","10.00","3.70","4.50","4,811.00","16,301,800.00","138,377,250.00"
"KELANI VALLEY PLANTATIONS PLC","KVAL.N0000","30.00","78.00","40.00","47.50","1,736.00","1,979,100.00","136,344,125.00"
"OVERSEAS REALTY (CEYLON) PLC","OSEA.N0000","12.50","15.00","5.75","6.50","7,122.00","11,071,600.00","133,757,700.00"
"SUNSHINE HOLDINGS PLC","SUN.N0000","140.00","238.00","115.00","120.00","77.00","1,051,700.00","131,961,500.00"
"L O L C HOLDINGS PLC","LOLC.N0000","100.00","133.25","58.00","58.00","1,403.00","1,177,100.00","131,449,900.00"
"ASIRI HOSPITAL HOLDINGS PLC","ASIR.N0000","50.00","90.00","43.00","49.25","1,834.00","2,260,770.00","127,656,700.00"
"WATAWALA  PLANTATIONS  PLC","WATA.N0000","22.75","107.00","53.00","57.50","774.00","1,403,433.00","118,995,680.00"
"HORANA PLANTATIONS PLC","HOPL.N0000","14.50","46.25","9.00","10.00","3,157.00","3,579,200.00","115,473,325.00"
"KOTMALE HOLDINGS PLC","LAMB.N0000","10.25","13.25","8.50","9.50","2,949.00","10,300,538.00","112,859,949.00"
"E - CHANNELLING PLC","ECL.N0000","10.50","19.00","6.50","7.00","6,397.00","8,116,900.00","112,797,400.00"
"LAXAPANA BATTERIES PLC","LITE.N0000","5.00","10.00","3.50","3.80","6,408.00","14,376,500.00","112,483,585.00"
"EQUITY ONE PLC","EQIT.N0000","21.00","35.75","11.50","12.75","4,786.00","4,152,500.00","110,565,000.00"
"SAMSON INTERNATIONAL PLC","SIL.N0000","36.00","71.00","37.00","41.50","2,322.00","1,856,600.00","109,454,725.00"
"LANKA TILES PLC","TILE.N0000","60.00","73.50","20.50","25.00","1,140.00","1,871,800.00","107,505,150.00"
"C. W. MACKIE PLC","CWM.N0000","11.50","29.75","9.50","10.25","5,193.00","4,419,100.00","106,773,100.00"
"LANKEM CEYLON PLC","LCEY.N0000","38.50","54.50","22.50","23.25","1,916.00","2,337,300.00","105,714,500.00"
"HAYLEYS FABRIC PLC","MGT.N0000","45.00","64.00","22.00","26.00","1,139.00","1,944,400.00","105,606,175.00"
"COLOMBO FORT INVESTMENTS PLC","CFI.N0000","13.50","43.50","14.75","15.00","4,019.00","3,786,000.00","104,622,900.00"
"THE FINANCE COMPANY PLC","TFC.N0000","36.00","66.00","24.00","27.25","1,862.00","1,794,200.00","104,614,550.00"
"BOGALA GRAPHITE LANKA PLC","BOGA.N0000","30.50","31.50","9.00","9.00","5,300.00","4,247,800.00","104,084,050.00"
"CEYLON HOSPITALS PLC","CHL.N0000","33.50","62.00","43.00","44.75","667.00","1,814,700.00","103,539,025.00"
"LANKA REALTY INVESTMENTS PLC","ASCO.N0000","36.00","52.00","18.00","19.00","3,329.00","2,497,000.00","101,669,225.00"
"BOGAWANTALAWA TEA ESTATES PLC","BOPL.N0000","15.00","34.50","8.50","11.00","3,856.00","3,487,500.00","98,544,475.00"
"GALADARI HOTELS (LANKA) PLC","GHLL.N0000","11.50","14.00","6.00","6.25","7,638.00","8,582,500.00","97,657,125.00"
"RIVERINA HOTELS PLC","BHR.N0000","22.50","56.00","25.25","28.50","2,238.00","2,322,500.00","95,842,600.00"
"LANKA VENTURES PLC","LVEN.N0000","12.25","13.50","5.00","6.00","3,566.00","8,217,500.00","92,792,500.00"
"EQUITY TWO PLC","ETWO.N0000","10.25","17.25","6.00","6.50","5,236.00","6,348,800.00","85,735,275.00"
"HNB ASSURANCE PLC","HASU.N0000","13.00","27.00","17.00","18.25","3,641.00","3,566,900.00","85,513,100.00"
"COLOMBO INVESTMENT TRUST PLC","CIT.N0000","14.50","42.75","14.00","14.00","2,746.00","3,330,000.00","84,566,625.00"
"KELSEY DEVELOPMENTS PLC","KDL.N0000","32.25","22.00","4.60","5.50","4,847.00","5,705,400.00","83,493,295.00"
"HUNTER & COMPANY PLC","HUNT.N0000","250.00","400.00","190.00","240.00","148.00","298,100.00","82,243,650.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","165.00","260.00","157.00","192.00","220.00","344,500.00","80,703,300.00"
"KEELLS FOOD PRODUCTS PLC","KFP.N0000","32.25","71.75","40.00","58.00","2,462.00","1,288,300.00","79,742,525.00"
"THE FORTRESS RESORTS PLC","RHTL.N0000","12.50","8.00","4.20","4.30","2,723.00","10,932,300.00","79,707,395.00"
"FIRST CAPITAL HOLDINGS PLC","CFVF.N0000","4.50","12.25","4.50","5.00","3,736.00","7,981,100.00","79,391,930.00"
"PELWATTE SUGAR INDUSTRIES PLC","SUGA.N0000","14.75","27.00","10.50","10.75","3,653.00","3,839,100.00","78,856,150.00"
"UNION ASSURANCE PLC","UAL.N0000","99.00","77.00","41.50","49.75","1,810.00","1,275,900.00","78,346,200.00"
"MERCHANT BANK OF SRI LANKA & FINANCE PLC","MBSL.N0000","14.25","18.00","7.00","7.25","2,979.00","5,488,900.00","77,639,925.00"
"RADIANT GEMS INTERNATIONAL PLC","RGEM.N0000","10.50","47.00","10.75","13.00","4,289.00","2,138,400.00","73,375,100.00"
"PEGASUS HOTELS OF CEYLON PLC","PEG.N0000","16.75","27.25","9.75","10.00","4,730.00","3,470,700.00","73,347,350.00"
"TAL LANKA HOTELS PLC","TAJ.N0000","11.75","11.75","6.50","7.00","5,077.00","7,761,900.00","71,522,600.00"
"ACL PLASTICS PLC","APLA.N0000","44.00","44.00","25.25","27.50","2,672.00","1,888,100.00","69,767,250.00"
"KAHAWATTE  PLANTATIONS  PLC","KAHA.N0000","5.00","44.00","16.50","20.75","3,846.00","2,114,900.00","69,718,550.00"
"NATIONS TRUST BANK PLC","NTB.W0010","0.00","10.00","1.70","3.10","3,485,686.00","6,361,150.00","68,616,115.00"
"HAYLEYS FIBRE PLC","HEXP.N0000","40.00","43.00","12.75","13.00","3,362.00","1,910,700.00","67,342,775.00"
"COLOMBO LAND AND DEVELOPMENT COMPANY PLC","CLND.N0000","3.25","5.75","3.20","3.60","2,361.00","13,919,500.00","64,985,650.00"
"HAPUGASTENNE PLANTATIONS PLC","HAPU.N0000","13.00","62.00","15.50","17.75","1,621.00","1,351,500.00","64,548,550.00"
"CEYLON GRAIN ELEVATORS PLC","GRAN.N0000","13.00","13.50","6.25","6.50","3,534.00","5,303,700.00","61,352,750.00"
"LANKEM DEVELOPMENTS PLC","LDEV.N0000","12.00","17.75","6.50","7.25","4,181.00","4,233,300.00","61,347,750.00"
"THREE ACRE FARMS PLC","TAFL.N0000","10.50","11.25","5.00","5.50","3,595.00","6,294,500.00","61,021,550.00"
"C M HOLDINGS PLC","COLO.N0000","29.00","46.50","24.00","26.75","2,424.00","1,562,100.00","60,283,750.00"
"JOHN KEELLS HOTELS PLC","KHL.N0000","85.00","8.50","5.00","5.00","2,571.00","8,365,000.00","59,061,900.00"
"MERCANTILE SHIPPING COMPANY PLC","MSL.N0000","105.00","125.00","87.00","103.50","211.00","464,623.00","57,150,700.00"
"GOOD HOPE PLC","GOOD.N0000","180.00","205.00","100.50","116.00","188.00","309,200.00","56,331,600.00"
"THE LANKA HOSPITALS CORPORATION PLC","LHCL.N0000","18.75","19.75","10.00","12.00","2,697.00","3,307,400.00","54,932,050.00"
"CITY HOUSING & REAL ESTATE CO. PLC","CHOU.N0000","32.00","37.75","10.00","12.00","2,650.00","1,859,300.00","54,540,050.00"
"TESS AGRO PLC","TESS.N0000","1.00","1.40","0.50","0.60","2,291.00","48,215,300.00","52,587,180.00"
"STANDARD CAPITAL PLC","SING.N0000","3.30","85.00","43.00","60.00","796.00","792,200.00","52,586,575.00"
"HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL","HDFC.N0000","191.50","135.00","54.00","56.00","1,128.00","503,100.00","51,234,150.00"
"THE NUWARA ELIYA HOTELS COMPANY PLC","NEH.N0000","650.00","695.00","225.00","225.00","288.00","104,000.00","50,836,700.00"
"RENUKA CITY HOTELS PLC.","RENU.N0000","91.50","104.00","70.00","75.00","260.00","604,900.00","50,383,800.00"
"VANIK INCORPORATION PLC","VANI.N0000","1.50","2.30","0.80","0.80","2,793.00","36,226,200.00","45,811,900.00"
"DOLPHIN HOTELS PLC","STAF.N0000","8.75","13.25","7.50","9.00","2,623.00","3,834,000.00","44,727,375.00"
"NATIONS TRUST BANK PLC","NTB.W0011","0.00","11.00","1.60","4.00","2,851,225.00","3,223,684.00","43,916,625.00"
"MARAWILA  RESORTS  PLC","MARA.N0000","6.50","5.50","2.80","2.90","2,271.00","9,553,600.00","42,684,440.00"
"PMF FINANCE PLC","PMB.N0000","29.00","72.00","23.75","29.75","1,712.00","812,600.00","41,743,475.00"
"C T LAND DEVELOPMENT PLC","CTLD.N0000","13.00","19.75","10.50","13.25","1,492.00","2,359,100.00","38,932,950.00"
"PROPERTY DEVELOPMENT PLC","PDL.N0000","31.75","38.00","19.75","20.00","1,707.00","1,224,400.00","37,437,075.00"
"DIPPED PRODUCTS PLC","DIPD.N0000","76.00","92.25","51.00","56.75","633.00","492,000.00","36,116,325.00"
"SMB FINANCE PLC","SEMB.X0000","1.10","1.00","0.20","0.40","1,866.00","58,551,000.00","35,998,980.00"
"SELINSING PLC","SELI.N0000","185.00","235.00","100.00","160.00","148.00","168,600.00","34,975,400.00"
"SEYLAN BANK PLC","SEYB.N0000","38.00","34.00","15.75","28.50","1,111.00","1,189,900.00","33,183,075.00"
"CITRUS LEISURE PLC","REEF.N0000","1.00","1.30","0.60","0.70","1,475.00","30,450,300.00","32,389,280.00"
"NATION LANKA FINANCE PLC","CSF.N0000","17.00","19.00","6.50","9.25","2,016.00","1,950,900.00","32,056,100.00"
"UNISYST ENGINEERING PLC","ALUF.N0000","16.75","55.00","18.50","19.50","1,353.00","653,100.00","30,779,300.00"
"KELANI CABLES PLC","KCAB.N0000","68.00","130.00","59.00","59.00","642.00","332,600.00","30,207,475.00"
"ACME PRINTING & PACKAGING PLC","ACME.N0000","16.00","25.25","14.00","15.75","1,648.00","1,298,100.00","28,621,375.00"
"HAYLEYS LEISURE PLC","CONN.N0000","37.50","28.00","15.00","17.75","1,098.00","1,154,000.00","27,473,550.00"
"CEYLINCO INSURANCE PLC","CINS.X0000","0.00","175.00","90.00","142.25","419.00","180,300.00","27,050,300.00"
"PALM GARDEN HOTELS PLC","PALM.N0000","46.00","119.75","67.00","67.00","245.00","264,800.00","26,954,525.00"
"TEA SMALLHOLDER FACTORIES PLC","TSML.N0000","50.00","107.00","68.00","70.00","364.00","312,600.00","26,205,350.00"
"SERENDIB HOTELS PLC","SHOT.N0000","45.00","49.25","18.50","18.50","1,104.00","706,700.00","25,900,675.00"
"AIA INSURANCE LANKA PLC","CTCE.N0000","83.00","160.00","98.00","115.00","279.00","177,300.00","25,713,350.00"
"SMB FINANCE PLC","SEMB.N0000","7.00","8.00","2.50","3.00","1,729.00","3,808,000.00","25,128,285.00"
"HUEJAY INTERNATIONAL INVESTMENTS PLC","HUEJ.N0000","49.00","72.00","22.00","27.00","918.00","379,400.00","23,929,300.00"
"MAHAWELI REACH HOTELS PLC","MRH.N0000","21.00","20.25","8.00","11.00","1,227.00","1,659,300.00","23,679,275.00"
"RENUKA HOLDINGS PLC","RHL.N0000","0.00","100.00","38.00","40.25","395.00","443,800.00","23,339,925.00"
"CEYLON HOSPITALS PLC","CHL.X0000","19.50","41.75","28.00","29.00","561.00","661,000.00","23,127,825.00"
"ROYAL PALMS BEACH HOTELS PLC","RPBH.N0000","25.00","41.75","27.00","29.75","160.00","695,200.00","22,962,175.00"
"JOHN KEELLS PLC","JKL.N0000","91.00","100.00","57.00","60.00","726.00","260,500.00","22,777,325.00"
"EDEN HOTEL LANKA PLC","EDEN.N0000","11.75","16.50","6.50","7.00","1,647.00","1,723,600.00","22,705,275.00"
"TRANS ASIA HOTELS PLC","TRAN.N0000","100.00","100.00","75.00","89.50","334.00","246,000.00","21,967,975.00"
"ASIA CAPITAL PLC","ACAP.N0000","15.00","15.00","4.80","5.25","1,745.00","2,161,100.00","20,599,125.00"
"TANGERINE BEACH HOTELS PLC","TANG.N0000","36.00","37.25","22.50","28.50","1,082.00","624,000.00","19,890,050.00"
"BROWNS BEACH HOTELS PLC","BBH.N0000","23.00","34.50","18.00","19.00","1,097.00","662,900.00","19,242,000.00"
"AMANA TAKAFUL PLC","ATL.N0000","28.00","15.25","5.75","6.00","1,690.00","1,533,600.00","18,870,150.00"
"LANKA ALUMINIUM INDUSTRIES PLC","LALU.N0000","12.00","35.00","18.00","18.00","534.00","604,200.00","18,837,775.00"
"UDAPUSSELLAWA  PLANTATIONS PLC","UDPL.N0000","10.75","47.00","10.75","12.00","1,019.00","520,000.00","18,766,125.00"
"RICHARD PIERIS EXPORTS PLC","REXP.N0000","27.50","13.75","6.50","7.25","1,509.00","1,539,800.00","18,279,500.00"
"MULLER & PHIPPS (CEYLON) PLC","MULL.N0000","1.25","1.10","0.30","0.40","1,412.00","23,527,100.00","17,828,270.00"
"SERENDIB HOTELS PLC","SHOT.X0000","18.50","34.75","11.00","13.00","1,073.00","616,700.00","17,383,625.00"
"MTD WALKERS PLC","KAPI.N0000","5.75","97.00","50.00","68.25","616.00","212,100.00","16,013,475.00"
"MORISON PLC","MORI.X0000","350.00","420.00","181.00","240.00","121.00","52,900.00","15,900,725.00"
"THE  LIGHTHOUSE  HOTEL  PLC","LHL.N0000","64.00","54.00","27.50","39.00","370.00","377,200.00","15,492,175.00"
"LION BREWERY (CEYLON) PLC","LION.N0000","60.00","66.00","40.00","42.75","304.00","249,800.00","14,815,425.00"
"ELPITIYA PLANTATIONS PLC","ELPL.N0000","20.00","106.00","23.50","24.25","1,141.00","214,300.00","14,206,575.00"
"INDO-MALAY PLC","INDO.N0000","170.00","320.00","166.00","166.50","52.00","58,100.00","14,126,825.00"
"LEE HEDGES PLC","SHAW.N0000","185.00","174.00","100.00","110.00","214.00","97,300.00","13,296,275.00"
"HOTEL SIGIRIYA PLC","HSIG.N0000","25.50","38.00","18.00","21.00","356.00","416,200.00","12,962,300.00"
"SATHOSA MOTORS PLC","SMOT.N0000","57.00","141.00","60.25","66.50","347.00","91,800.00","10,939,575.00"
"BLUE DIAMONDS JEWELLERY WORLDWIDE PLC","BLUE.X0000","1.50","0.90","0.30","0.40","1,389.00","15,250,800.00","10,678,090.00"
"KURUWITA TEXTILE MILLS PLC","KURU.N0000","39.75","49.00","18.25","20.75","400.00","268,200.00","10,430,900.00"
"COLOMBO LAND & DEVELOPMENT COMPANY PLC","CLND.W0005","1.25","2.20","0.90","1.00","1,967,389.00","4,011,791.00","10,304,370.00"
"CONVENIENCE FOODS LANKA PLC","SOY.N0000","63.00","86.00","70.00","70.00","139.00","120,400.00","9,990,000.00"
"ON'ALLY HOLDINGS PLC","ONAL.N0000","25.50","36.75","23.00","24.00","561.00","311,800.00","9,854,725.00"
"MORISON PLC","MORI.N0000","515.00","485.00","235.00","240.00","125.00","24,800.00","9,446,600.00"
"REGNIS (LANKA) PLC","REG.N0000","58.00","69.00","38.00","43.00","237.00","177,200.00","9,375,750.00"
"CEYLON COLD STORES PLC","CCS.N0000","122.25","149.75","76.00","94.00","198.00","77,600.00","9,318,500.00"
"DILMAH CEYLON TEA COMPANY PLC","CTEA.N0000","435.00","350.00","255.00","260.00","79.00","27,900.00","8,770,275.00"
"ALLIANCE FINANCE COMPANY PLC","ALLI.N0000","110.00","235.00","175.00","175.00","100.00","42,500.00","8,751,425.00"
"MIRAMAR BEACH HOTEL PLC","MIRA.N0000","44.00","73.75","40.00","40.00","251.00","153,700.00","8,105,650.00"
"ARPICO FINANCE COMPANY PLC","ARPI.N0000","65.00","75.00","26.00","30.00","304.00","131,000.00","8,073,175.00"
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","8.75","44.50","23.25","30.00","413.00","224,400.00","7,797,700.00"
"COMMERCIAL DEVELOPMENT COMPANY PLC","COMD.N0000","50.00","58.00","30.00","30.00","475.00","162,300.00","7,260,525.00"
"BERUWELA WALK INN PLC","BINN.N0000","52.00","85.00","15.25","25.00","284.00","106,500.00","7,159,350.00"
"GESTETNER OF CEYLON PLC","GEST.N0000","24.00","56.50","22.00","22.75","436.00","141,100.00","7,056,275.00"
"THE KANDY HOTELS COMPANY (1938) PLC","KHC.N0000","75.00","85.75","28.00","33.25","334.00","96,000.00","6,323,025.00"
