Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
GESTETNER OF CEYLON PLC,GEST.N0000,99.9,51,13450,1251356.2
C. W. MACKIE PLC,CWM.N0000,91.4,45,13747,1248041
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,13.9,32,82192,1120046.2
BAIRAHA FARMS PLC,BFL.N0000,168,37,6494,1091892
RICHARD PIERIS EXPORTS PLC,REXP.N0000,570.25,38,1868,1067786.5
JANASHAKTHI INSURANCE PLC,JINS.N0000,36.7,27,29505,1056354.5
EDEN HOTEL LANKA PLC,EDEN.N0000,13,80,79549,1030017.8
MASKELIYA PLANTATIONS PLC,MASK.N0000,36,30,28554,1016758.7
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,7,34,143652,1005637.7
RENUKA AGRI FOODS PLC,RAL.N0000,4.9,59,203055,981621.7
SIERRA CABLES PLC,SIRA.N0000,11.2,70,83967,943227
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,5,44,178287,916117.6
KEGALLE PLANTATIONS PLC,KGAL.N0000,124.75,40,7385,903633.5
HNB FINANCE PLC,HNBF.N0000,5.7,27,152048,879404.9
LAXAPANA BATTERIES PLC,LITE.N0000,14.3,70,61879,863747.1
ALUMEX PLC,ALUM.N0000,9,52,91806,826734.1
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.2,29,192692,816795.9
E M L CONSULTANTS PLC,EML.N0000,4.1,53,196248,807297.9
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,17.3,33,46810,793010.3
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,47.9,37,16549,792293.5
BALANGODA PLANTATIONS PLC,BALA.N0000,61.9,62,12872,783958.9
ELPITIYA PLANTATIONS PLC,ELPL.N0000,88.1,57,8601,762588.7
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,2.6,64,316979,758255.3
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,100,25,7244,717329.5
KELANI TYRES PLC,TYRE.N0000,68.8,27,10232,701679.9
Co-operative Insurance Company PLC,COOP.N0000,3.2,46,216878,693929.7
CONVENIENCE FOODS LANKA PLC,SOY.N0000,999,33,683,682430.25
