Label,Month,Year,Close (Rs.),Severity
SPEN.N0000,3,2022,81.6047619047619,201929.29
SUN.N0000,3,2022,42.4,201929.29
TAFL.N0000,3,2022,203.82142857142858,201929.29
TAP.N0000,3,2022,10.404761904761905,201929.29
TILE.N0000,3,2022,81.09761904761905,201929.29
TJL.N0000,3,2022,41.266666666666666,201929.29
TKYO.N0000,3,2022,40.785714285714285,201929.29
TKYO.X0000,3,2022,34.042857142857144,201929.29
TYRE.N0000,3,2022,73.36190476190475,201929.29
UBC.N0000,3,2022,8.785714285714286,201929.29
UDPL.N0000,3,2022,42.0,201929.29
VFIN.N0000,3,2022,40.99047619047619,201929.29
VLL.N0000,3,2022,7.661904761904762,201929.29
VONE.N0000,3,2022,56.709523809523816,201929.29
VPEL.N0000,3,2022,7.690476190476191,201929.29
WATA.N0000,3,2022,119.21904761904761,201929.29
WIND.N0000,3,2022,17.428571428571427,201929.29
AAIC.N0000,4,2022,41.17272727272727,201929.29
ACL.N0000,4,2022,48.32727272727273,201929.29
AEL.N0000,4,2022,13.836363636363636,201929.29
AGST.N0000,4,2022,5.954545454545454,201929.29
ALHP.N0000,4,2022,0.96,201929.29
ALUM.N0000,4,2022,6.9818181818181815,201929.29
AMF.N0000,4,2022,8.063636363636364,201929.29
AMSL.N0000,4,2022,13.88,201929.29
ASIR.N0000,4,2022,34.82,201929.29
ASIY.N0000,4,2022,2.1272727272727274,201929.29
BFL.N0000,4,2022,141.8181818181818,201929.29
BIL.N0000,4,2022,6.0636363636363635,201929.29
BOGA.N0000,4,2022,42.08181818181818,201929.29
BRWN.N0000,4,2022,111.14545454545454,201929.29
CALT.N0000,4,2022,9.427272727272728,201929.29
CARE.N0000,4,2022,26.70909090909091,201929.29
CARG.N0000,4,2022,173.325,201929.29
CCS.N0000,4,2022,33.08181818181818,201929.29
CDB.X0000,4,2022,74.2090909090909,201929.29
CFIN.N0000,4,2022,62.1,201929.29
CFLB.N0000,4,2022,11.744444444444445,201929.29
CFVF.N0000,4,2022,33.06666666666667,201929.29
CIC.N0000,4,2022,33.90909090909091,201929.29
CIC.X0000,4,2022,21.37272727272727,201929.29
CIND.N0000,4,2022,73.27272727272727,201929.29
CINV.N0000,4,2022,32.04,201929.29
CITW.N0000,4,2022,1.718181818181818,201929.29
COCR.N0000,4,2022,20.163636363636364,201929.29
COMB.N0000,4,2022,55.76363636363636,201929.29
COMB.X0000,4,2022,54.61818181818182,201929.29
CTC.N0000,4,2022,610.8863636363636,201929.29
CTHR.N0000,4,2022,152.35714285714286,201929.29
CWL.N0000,4,2022,12.379999999999999,201929.29
DFCC.N0000,4,2022,46.52727272727273,201929.29
DFCC.R0000,4,2022,0.1,201929.29
DIAL.N0000,4,2022,9.381818181818183,201929.29
DIPD.N0000,4,2022,29.60909090909091,201929.29
DIST.N0000,4,2022,13.509090909090908,201929.29
DPL.N0000,4,2022,8.527272727272727,201929.29
EAST.N0000,4,2022,6.663636363636363,201929.29
ELPL.N0000,4,2022,69.18181818181819,201929.29
EML.N0000,4,2022,5.2,201929.29
EXPO.N0000,4,2022,153.27727272727273,201929.29
GHLL.N0000,4,2022,10.82,201929.29
GLAS.N0000,4,2022,10.345454545454546,201929.29
GOOD.N0000,4,2022,1560.0,201929.29
GRAN.N0000,4,2022,62.627272727272725,201929.29
GREG.N0000,4,2022,37.68,201929.29
GSF.N0000,4,2022,19.3,201929.29
