Label,Year,Month,Close (Rs.),Loan Rate
TILE.N0000,2019,3,67.4,9.0
TJL.N0000,2019,3,30.4,9.0
TKYO.N0000,2019,3,20.7,9.0
TKYO.X0000,2019,3,18.9,9.0
TYRE.N0000,2019,3,32.1,9.0
UBC.N0000,2019,3,11.2,9.0
UDPL.N0000,2019,3,27.0,9.0
VFIN.N0000,2019,3,66.1,9.0
VLL.N0000,2019,3,4.45,9.0
VONE.N0000,2019,3,15.0,9.0
VPEL.N0000,2019,3,6.0,9.0
WATA.N0000,2019,3,19.3,9.0
AAF.R0000,2019,4,0.1,9.0
AAIC.N0000,2019,4,33.4,9.0
ACL.N0000,2019,4,32.7,9.0
AEL.N0000,2019,4,13.2,9.0
AGST.N0000,2019,4,4.15,9.0
ALHP.N0000,2019,4,0.9,9.0
ALHP.R0000,2019,4,0.1,9.0
ALUM.N0000,2019,4,9.8,9.0
AMF.N0000,2019,4,441.0,9.0
AMSL.N0000,2019,4,9.0,9.0
ARPI.N0000,2019,4,154.1,9.0
ASIR.N0000,2019,4,20.0,9.0
ASIY.N0000,2019,4,1.9,9.0
BFL.N0000,2019,4,116.0,9.0
BIL.N0000,2019,4,1.6,9.0
BLI.N0000,2019,4,26.6,9.0
BOGA.N0000,2019,4,11.8,9.0
BRWN.N0000,2019,4,46.6,9.0
CALF.R0000,2019,4,0.1,9.0
CARE.N0000,2019,4,30.1,9.0
CARG.N0000,2019,4,200.0,9.0
CCS.N0000,2019,4,575.0,9.0
CDB.X0000,2019,4,61.5,9.0
CFIN.N0000,2019,4,88.9,9.0
CFLB.N0000,2019,4,13.4,9.0
CFVF.N0000,2019,4,23.5,9.0
CIC.N0000,2019,4,38.0,9.0
CIC.X0000,2019,4,27.0,9.0
CIND.N0000,2019,4,28.7,9.0
CINV.N0000,2019,4,35.0,9.0
CITW.N0000,2019,4,2.1,9.0
CLC.N0000,2019,4,2.6,9.0
COCR.N0000,2019,4,26.1,9.0
COF.U0000,2019,4,6.2,9.0
COMB.N0000,2019,4,97.7,9.0
COMB.X0000,2019,4,81.7,9.0
CTC.N0000,2019,4,1307.75,9.0
CTHR.N0000,2019,4,165.0,9.0
DFCC.N0000,2019,4,71.2,9.0
DFCC.R0000,2019,4,0.1,9.0
DIAL.N0000,2019,4,9.1,9.0
DIPD.N0000,2019,4,82.0,9.0
DIST.N0000,2019,4,14.6,9.0
DPL.N0000,2019,4,5.5,9.0
EAST.N0000,2019,4,18.0,9.0
ELPL.N0000,2019,4,18.0,9.0
EXPO.N0000,2019,4,4.1,9.0
GHLL.N0000,2019,4,6.8,9.0
GLAS.N0000,2019,4,3.4,9.0
GOOD.N0000,2019,4,902.6,9.0
GRAN.N0000,2019,4,52.7,9.0
GREG.N0000,2019,4,9.3,9.0
GSF.N0000,2019,4,17.2,9.0
HASU.N0000,2019,4,117.1,9.0
HAYC.N0000,2019,4,134.7,9.0
HAYL.N0000,2019,4,167.9,9.0
HHL.N0000,2019,4,75.0,9.0
HNB.N0000,2019,4,177.0,9.0
HNB.X0000,2019,4,144.3,9.0
IDL.N0000,2019,4,7.0,9.0
JINS.N0000,2019,4,25.8,9.0
JKH.N0000,2019,4,152.0,9.0
KGAL.N0000,2019,4,58.55,9.0
KOTA.N0000,2019,4,6.7,9.0
KZOO.N0000,2019,4,3.4,9.0
LDEV.N0000,2019,4,3.4,9.0
LFIN.N0000,2019,4,122.05,9.0
LIOC.N0000,2019,4,17.4,9.0
LION.N0000,2019,4,580.0,9.0
LLMP.N0000,2019,4,1.2000000000000002,9.0
LLMP.X0000,2019,4,0.6499999999999999,9.0
LLUB.N0000,2019,4,61.0,9.0
LMF.N0000,2019,4,109.5,9.0
LOFC.N0000,2019,4,3.3,9.0
LOLC.N0000,2019,4,90.0,9.0
LPRT.N0000,2019,4,140.0,9.0
LVEF.N0000,2019,4,7.85,9.0
LWL.N0000,2019,4,57.65,9.0
MELS.N0000,2019,4,37.6,9.0
MERC.N0000,2019,4,2580.3,9.0
MFL.N0000,2019,4,18.0,9.0
MGT.N0000,2019,4,8.9,9.0
MORI.N0000,2019,4,652.3,9.0
MORI.X0000,2019,4,500.0,9.0
NDB.N0000,2019,4,96.0,9.0
NEST.N0000,2019,4,1624.6,9.0
NHL.N0000,2019,4,4.1,9.0
NIFL.N0000,2019,4,39.9,9.0
NTB.N0000,2019,4,88.8,9.0
ONAL.N0000,2019,4,100.0,9.0
OSEA.N0000,2019,4,15.4,9.0
PALM.N0000,2019,4,20.1,9.0
PAP.N0000,2019,4,3.0,9.0
PARA.N0000,2019,4,49.0,9.0
PARQ.N0000,2019,4,34.7,9.0
PDL.N0000,2019,4,116.6,9.0
PINS.N0000,2019,4,18.5,9.0
PLC.N0000,2019,4,13.75,9.0
PMB.R0000,2019,4,0.1,9.0
RAL.N0000,2019,4,2.1,9.0
RCL.N0000,2019,4,60.8,9.0
REEF.R0000,2019,4,0.1,9.0
RICH.N0000,2019,4,9.1,9.0
RIL.N0000,2019,4,6.2,9.0
RWSL.N0000,2019,4,2.0,9.0
SAMP.N0000,2019,4,166.1,9.0
SDB.N0000,2019,4,60.6,9.0
SELI.N0000,2019,4,711.4,9.0
SEMB.N0000,2019,4,0.4,9.0
SEYB.N0000,2019,4,61.6,9.0
SEYB.X0000,2019,4,37.6,9.0
SFL.N0000,2019,4,9.2,9.0
SFL.P0000,2019,4,6.65,9.0
SHAL.N0000,2019,4,1497.6,9.0
SHL.N0000,2019,4,15.8,9.0
SHOT.N0000,2019,4,15.8,9.0
SINH.N0000,2019,4,1.3,9.0
SIRA.N0000,2019,4,1.6,9.0
SPEN.N0000,2019,4,43.0,9.0
SUN.N0000,2019,4,45.0,9.0
TAFL.N0000,2019,4,97.19999999999999,9.0
TAP.N0000,2019,4,3.9,9.0
TFIL.N0000,2019,4,50.0,9.0
TILE.N0000,2019,4,70.0,9.0
TJL.N0000,2019,4,30.5,9.0
TKYO.N0000,2019,4,20.9,9.0
TKYO.X0000,2019,4,18.3,9.0
TYRE.N0000,2019,4,32.2,9.0
