Listed Traded Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
16-08-2023,WATAWALA PLANTATIONS PLC,WATA.N0000,74,99,34277,2540404.2,-0.4,-0.54
16-08-2023,PRIME LANDS RESIDENCIES PLC,PLR.N0000,8.3,81,212923,1763920.4,0,0
16-08-2023,ROYAL CERAMICS LANKA PLC,RCL.N0000,29.4,237,298339,8790324.8,0.1,0.34
16-08-2023,PRINTCARE PLC,CARE.N0000,51.9,49,87412,4484448.8,1.8,3.59
16-08-2023,WINDFORCE PLC,WIND.N0000,18.2,36,35430,642635.2,0,0
16-08-2023,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,56,129,883536,49473188.8,0,0
16-08-2023,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,116,3,315,36545,-0.25,-0.22
16-08-2023,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,16,59,178688,2855372.1,-0.1,-0.62
16-08-2023,HNB ASSURANCE PLC,HASU.N0000,55.2,37,102544,5656871.2,0.2,0.36
16-08-2023,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,16.9,33,46810,793010.3,-0.1,-0.59
16-08-2023,ACL CABLES PLC,ACL.N0000,74.8,400,781704,58746921.9,-2.4,-3.11
16-08-2023,UNITED MOTORS LANKA PLC,UML.N0000,73,32,4793,351895.3,0.2,0.27
16-08-2023,LION BREWERY (CEYLON) PLC,LION.N0000,705,8,9982,7038537.75,1,0.14
16-08-2023,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,8.1,180,669526,5502235.2,-0.3,-3.57
16-08-2023,ASIA CAPITAL PLC,ACAP.N0000,4.1,5,4966,20006.6,0.1,2.5
16-08-2023,MASKELIYA PLANTATIONS PLC,MASK.N0000,36,30,28554,1016758.7,-0.2,-0.55
16-08-2023,LAXAPANA BATTERIES PLC,LITE.N0000,14.3,70,61879,863747.1,-0.5,-3.38
16-08-2023,C I C HOLDINGS PLC,CIC.N0000,71.3,61,55547,3934196.5,1.2,1.71
16-08-2023,SWISSTEK (CEYLON) PLC,PARQ.N0000,16.5,53,152950,2523468.2,0,0
16-08-2023,EDEN HOTEL LANKA PLC,EDEN.N0000,12.9,80,79549,1030017.8,-0.2,-1.53
16-08-2023,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,30.5,121,323912,9779645.3,0.4,1.33
16-08-2023,HAYCARB PLC,HAYC.N0000,66.9,70,129665,8701210.4,-0.2,-0.3
16-08-2023,KEGALLE PLANTATIONS PLC,KGAL.N0000,121.75,40,7385,903633.5,-2.75,-2.21
16-08-2023,Ex-pack Corrugated Cartons PLC,PACK.N0000,13.7,122,323972,4463914.9,-0.2,-1.44
16-08-2023,HAYLEYS PLC,HAYL.N0000,89.1,218,318108,28212256.1,0.7,0.79
16-08-2023,E - CHANNELLING PLC,ECL.N0000,14.9,22,19713,294081.7,-0.3,-1.97
16-08-2023,GESTETNER OF CEYLON PLC,GEST.N0000,96.1,51,13450,1251356.2,8.7,9.95
16-08-2023,SOFTLOGIC FINANCE PLC,CRL.N0000,7.2,19,9215,68232,-0.8,-10
16-08-2023,LEE HEDGES PLC,SHAW.N0000,82,37,23054,1882371,2.6,3.27
16-08-2023,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,28,124,57005,1599865.5,-0.7,-2.44
16-08-2023,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.2,29,192692,816795.9,0.1,2.44
16-08-2023,ACCESS ENGINEERING PLC,AEL.N0000,17.3,102,338327,5814272.1,0.5,2.98
16-08-2023,LOTUS HYDRO POWER PLC,HPFL.N0000,9.5,107,158937,1540893.9,-0.5,-5
16-08-2023,BROWN & COMPANY PLC,BRWN.N0000,126,60,26717,3340809.75,2.25,1.82
16-08-2023,ARPICO INSURANCE PLC,AINS.N0000,23.5,5,3731,86788.5,0,0
16-08-2023,E M L CONSULTANTS PLC,EML.N0000,4.1,53,196248,807297.9,0,0
16-08-2023,SERENDIB HOTELS PLC,SHOT.N0000,11.8,8,2564,30797.7,0.1,0.85
16-08-2023,DIPPED PRODUCTS PLC,DIPD.N0000,32.3,120,206065,6720675.2,0.5,1.57
16-08-2023,HAYLEYS FIBRE PLC,HEXP.N0000,61.7,26,3991,244230.7,1.7,2.83
16-08-2023,RICHARD PIERIS EXPORTS PLC,REXP.N0000,572.25,38,1868,1067786.5,-4.25,-0.74
16-08-2023,SRI LANKA TELECOM PLC,SLTL.N0000,88.9,141,66255,5890429.3,0.4,0.45
16-08-2023,HNB FINANCE PLC,HNBF.N0000,5.8,27,152048,879404.9,0,0
16-08-2023,BAIRAHA FARMS PLC,BFL.N0000,168,37,6494,1091892,-1,-0.59
16-08-2023,CENTRAL INDUSTRIES PLC,CIND.N0000,100.25,42,65434,6555153.25,1.15,1.16
16-08-2023,C. W. MACKIE PLC,CWM.N0000,90.7,45,13747,1248041,-0.5,-0.55
16-08-2023,CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,92,74,138463,12713990.9,0.5,0.55
16-08-2023,LB FINANCE PLC,LFIN.N0000,70.1,148,491710,34436810.2,2,2.94
16-08-2023,UB FINANCE COMPANY LIMITED,UBF.N0000,1.2,102,1204292,1453801,0,0
16-08-2023,TALAWAKELLE TEA ESTATES PLC,TPL.N0000,114,19,4140,471897.5,1.25,1.11
16-08-2023,SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,56,2,8,476.8,0,0
16-08-2023,LANKEM DEVELOPMENTS PLC,LDEV.N0000,26.2,228,305184,7958671.7,0.1,0.38
16-08-2023,LANKA TILES PLC,TILE.N0000,45,138,88341,3995187.1,-1,-2.17
16-08-2023,BERUWALA RESORTS PLC,BERU.N0000,1.5,14,47543,68343.1,0.1,7.14
16-08-2023,LAUGFS GAS PLC,LGL.N0000,35.7,16,5421,193523.7,-0.3,-0.83
16-08-2023,BALANGODA PLANTATIONS PLC,BALA.N0000,61.5,62,12872,783958.9,-0.3,-0.49
16-08-2023,DIALOG AXIATA PLC,DIAL.N0000,11.8,134,15412283,181824523.5,0.4,3.51
16-08-2023,CARGILLS (CEYLON) PLC,CARG.N0000,325,22,4470,1451680.5,10,3.17
16-08-2023,EASTERN MERCHANTS PLC,EMER.N0000,8.5,11,14030,119275,0.2,2.41
16-08-2023,CEYLON COLD STORES PLC,CCS.N0000,48.1,49,74225,3578828.1,-0.4,-0.82
16-08-2023,RESUS ENERGY PLC,HPWR.N0000,14,71,115804,1606514.3,-0.3,-2.1
16-08-2023,CEYLON PRINTERS PLC,CPRT.N0000,149.5,49,1071,161124.5,21,16.34
16-08-2023,BROWNS BEACH HOTELS PLC,BBH.N0000,14.8,24,7881,115152.8,-0.2,-1.33
16-08-2023,SANASA DEVELOPMENT BANK PLC,SDB.N0000,36.1,34,6668,242404.9,-0.8,-2.17
16-08-2023,HAYLEYS LEISURE PLC,CONN.N0000,23.1,18,5079,116223.8,0.2,0.87
16-08-2023,HUNAS HOLDINGS PLC,HUNA.N0000,28.5,29,9679,273693.9,1.5,5.56
16-08-2023,Co-operative Insurance Company PLC,COOP.N0000,3.2,46,216878,693929.7,0,0
16-08-2023,JOHN KEELLS HOTELS PLC,KHL.N0000,23,50,91633,2099850.6,0,0
16-08-2023,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.4,29,912601,380920.4,0,0
16-08-2023,VALLIBEL POWER ERATHNA PLC,VPEL.N0000,7,34,143652,1005637.7,0,0
16-08-2023,ODEL PLC,ODEL.N0000,15.6,14,8771,136599.6,0.1,0.65
16-08-2023,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,68.5,29,36650,2523223.5,-1.1,-1.58
16-08-2023,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,48.2,16,1330,64191.5,2.2,4.78
16-08-2023,MADULSIMA PLANTATIONS PLC,MADU.N0000,11.1,21,19462,217650.6,0.1,0.91
16-08-2023,THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,8.6,27,23176,200601.3,-0.2,-2.27
16-08-2023,SMB FINANCE PLC,SEMB.N0000,0.9,116,1838153,1481283.8,0.1,12.5
16-08-2023,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,1.1,8,66550,74185,-0.1,-8.33
16-08-2023,SAMSON INTERNATIONAL PLC,SIL.N0000,163.25,28,1204,196057.5,5.75,3.65
16-08-2023,LANKEM CEYLON PLC,LCEY.N0000,72,56,49478,3526317.1,-7.7,-9.66
16-08-2023,SATHOSA MOTORS PLC,SMOT.N0000,203.5,2,7,1395.5,0,0
16-08-2023,CEYLON HOSPITALS PLC,CHL.N0000,129.75,5,1189,150964.75,-0.25,-0.19
16-08-2023,hSenid Business Solutions PLC,HBS.N0000,12.5,87,148100,1855432.6,0.2,1.63
16-08-2023,CEYLON TEA BROKERS PLC,CTBL.N0000,4.7,40,30511,143862.9,0,0
16-08-2023,AGALAWATTE PLANTATIONS PLC,AGAL.N0000,34.3,64,90787,3071887.2,-0.3,-0.87
16-08-2023,LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,2.4,64,316979,758255.3,0,0
16-08-2023,DANKOTUWA PORCELAIN PLC,DPL.N0000,26.6,26,431882,11500823.7,-0.1,-0.37
16-08-2023,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,54.9,72,44533,2403482.1,4.7,9.36
16-08-2023,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,53,81,29618,1586658.7,-1.2,-2.21
16-08-2023,LOLC GENERAL INSURANCE PLC,LGIL.N0000,6.6,12,21795,144847,0,0
16-08-2023,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13.3,7,2680,35679,0.3,2.31
16-08-2023,REGNIS (LANKA) PLC,REG.N0000,54.7,38,5592,306102.5,2.2,4.19
16-08-2023,PMF FINANCE PLC,PMB.N0000,5.4,10,26790,142219.5,0,0
16-08-2023,PALM GARDEN HOTELS PLC,PALM.N0000,42.5,20,4117,173392.5,0.5,1.19
16-08-2023,SINGHE HOSPITALS PLC,SINH.N0000,2.4,11,7280,17632,0,0
16-08-2023,JANASHAKTHI INSURANCE PLC,JINS.N0000,36.4,27,29505,1056354.5,0.4,1.11
16-08-2023,YORK ARCADE HOLDINGS PLC,YORK.N0000,161.5,12,329,53109.75,6.5,4.19
16-08-2023,CEYLON TOBACCO COMPANY PLC,CTC.N0000,999.75,18,600,600130.25,-0.25,-0.03
16-08-2023,JETWING SYMPHONY PLC,JETS.N0000,8.9,15,29900,264905,-0.1,-1.11
16-08-2023,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,41,15,1359,55734.4,-0.2,-0.49
16-08-2023,AITKEN SPENCE PLC,SPEN.N0000,139.75,23,14840,2075532.75,-1.75,-1.24
16-08-2023,RENUKA CITY HOTELS PLC.,RENU.N0000,387,5,1238,471840,7,1.84
16-08-2023,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,17.1,24,3960,67556,0,0
16-08-2023,THE AUTODROME PLC,AUTO.N0000,115,1,200,23000,0,0
16-08-2023,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,598,36,3361,2010502.5,-1,-0.17
16-08-2023,KELANI TYRES PLC,TYRE.N0000,68.7,27,10232,701679.9,0.5,0.73
16-08-2023,HIKKADUWA BEACH RESORT PLC,CITH.N0000,5.1,9,19190,97871,0,0
16-08-2023,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,35,10,3653,127826.8,-0.4,-1.13
16-08-2023,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,85,18,6420,536811.6,3.4,4.17
16-08-2023,MARAWILA RESORTS PLC,MARA.N0000,2.6,41,253330,677019.4,-0.1,-3.7
16-08-2023,HVA FOODS PLC,HVA.N0000,4.2,29,71704,295993.8,-0.2,-4.55
16-08-2023,CHRISSWORLD PLC,CWL.N0000,11.5,12,2499,29259.7,-0.5,-4.17
16-08-2023,UNION ASSURANCE PLC,UAL.N0000,39,13,62440,2434250,0.5,1.3
16-08-2023,RICHARD PIERIS AND COMPANY PLC,RICH.N0000,23,115,268855,6165081.2,0.1,0.44
16-08-2023,ON'ALLY HOLDINGS PLC,ONAL.N0000,26.9,15,192,5167.4,-0.8,-2.89
16-08-2023,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,112.75,20,218,24493.5,-7,-5.85
16-08-2023,WASKADUWA BEACH RESORT PLC,CITW.N0000,3,22,50413,148728.1,0.1,3.45
16-08-2023,CONVENIENCE FOODS LANKA PLC,SOY.N0000,999,33,683,682430.25,-1.5,-0.15
16-08-2023,HORANA PLANTATIONS PLC,HOPL.N0000,46.5,16,1980,92070.5,-0.1,-0.21
16-08-2023,PEOPLE'S INSURANCE PLC,PINS.N0000,25.3,17,9978,251137.9,-0.3,-1.17
16-08-2023,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,3.3,5,34913,115213.8,-0.2,-5.71
16-08-2023,SEYLAN DEVELOPMENTS PLC,CSD.N0000,13.5,14,972,12862.7,0.7,5.47
16-08-2023,LUMINEX PLC,LUMX.N0000,7,18,30437,212140.3,-0.1,-1.41
16-08-2023,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,48,8,1464,70236.3,1.9,4.12
16-08-2023,THE KINGSBURY PLC,SERV.N0000,10.2,51,1249114,12862607.1,0,0
16-08-2023,ORIENT FINANCE PLC,BFN.N0000,7.5,4,838,6281,0.2,2.74
16-08-2023,PANASIAN POWER PLC,PAP.N0000,3.4,19,45240,156820,-0.1,-2.86
16-08-2023,SINGER (SRI LANKA) PLC,SINS.N0000,15.6,36,177245,2787450.8,0.2,1.3
16-08-2023,AMANA TAKAFUL PLC,ATL.N0000,11.7,20,16296,184559.9,-0.3,-2.5
16-08-2023,TESS AGRO PLC,TESS.N0000,1,29,236955,236789,0,0
16-08-2023,SINGER FINANCE LANKA PLC,SFIN.N0000,13.7,12,20781,284692.2,0.2,1.48
16-08-2023,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,182.25,9,151,27519.75,-1,-0.55
16-08-2023,ASIA ASSET FINANCE PLC,AAF.N0000,13,12,49159,638068,0.5,4
16-08-2023,SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,13.2,8,502,6618.7,0.5,3.94
16-08-2023,ALPHA FIRE SERVICES PLC,AFS.N0000,42,1,1,41,0,0
16-08-2023,MYLAND DEVELOPMENTS PLC,MDL.N0000,9.4,6,6662,63722.8,-0.2,-2.08
16-08-2023,TAL LANKA HOTELS PLC,TAJ.N0000,20.1,3,213,4294.3,-1.1,-5.19
16-08-2023,AMBEON HOLDINGS PLC,GREG.N0000,35.8,6,754,27022.4,-1,-2.72
16-08-2023,RENUKA FOODS PLC,COCO.N0000,20.5,11,4686,93846.4,0.8,4.06
16-08-2023,MACKWOODS ENERGY PLC,MEL.N0000,2,6,2001,4052.4,-0.1,-4.76
16-08-2023,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,68.5,6,255,17467.3,0.4,0.59
16-08-2023,KAPRUKA HOLDINGS PLC,KPHL.N0000,8.5,15,19054,161974,-0.2,-2.3
16-08-2023,C T LAND DEVELOPMENT PLC,CTLD.N0000,25,3,80,1880,0,0
16-08-2023,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,29.9,3,100,2990,0.9,3.1
16-08-2023,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,11.3,6,375,4225,0.2,1.8
16-08-2023,NATION LANKA FINANCE PLC,CSF.N0000,0.5,17,123415,69257.5,0,0
16-08-2023,THE FORTRESS RESORTS PLC,RHTL.N0000,19,6,1503,28657.4,0,0
16-08-2023,THE LIGHTHOUSE HOTEL PLC,LHL.N0000,32.2,5,2147,69133.4,-1.7,-5.01
16-08-2023,MAHAWELI REACH HOTELS PLC,MRH.N0000,14,7,211,2952.5,0.3,2.19
16-08-2023,KAHAWATTE PLANTATIONS PLC,KAHA.N0000,20,7,1465,29448.5,0,0
16-08-2023,CARSON CUMBERBATCH PLC,CARS.N0000,279.5,4,110,30751,-0.5,-0.18
16-08-2023,EAST WEST PROPERTIES PLC,EAST.N0000,8.3,23,47693,400473.6,-0.3,-3.49
16-08-2023,BUKIT DARAH PLC,BUKI.N0000,414,6,212,87777,23.5,6.02
16-08-2023,VIDULLANKA PLC,VLL.N0000,6.3,9,2626,16424.4,-0.1,-1.56
16-08-2023,EXTERMINATORS PLC,EXT.N0000,8,12,1019,8174,0,0
16-08-2023,B P P L HOLDINGS PLC,BPPL.N0000,21.4,14,2808,59642.8,-0.6,-2.73
16-08-2023,RENUKA HOLDINGS PLC,RHL.N0000,15.8,14,14501,227415.8,0.7,4.64
16-08-2023,MALWATTE VALLEY PLANTATION PLC,MAL.N0000,58,5,217,12587,-1,-1.69
16-08-2023,RENUKA HOTELS PLC,RCH.N0000,97.6,62,56741,5487676.6,5.3,5.74
16-08-2023,ACME PRINTING & PACKAGING PLC,ACME.N0000,6.7,8,4644,30386,0.2,3.08
16-08-2023,DIALOG FINANCE PLC,CALF.N0000,60.8,8,143,8693.7,-3.1,-4.85
16-08-2023,LANKA CERAMIC PLC,CERA.N0000,105.25,1,5,525,0,0
16-08-2023,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,1020.5,11,66,67486.5,0,0
16-08-2023,HOTEL SIGIRIYA PLC,HSIG.N0000,43.5,16,7171,303899.3,0.7,1.64
16-08-2023,RAMBODA FALLS PLC,RFL.N0000,28.5,2,501,14279,0.7,2.52
16-08-2023,DOLPHIN HOTELS PLC,STAF.N0000,33.1,9,6800,231580,0,0
16-08-2023,JOHN KEELLS PLC,JKL.N0000,70,2,14,968,0,0
16-08-2023,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,86,23,764,65844,-1.5,-1.71
16-08-2023,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,46,5,905,41430.5,-0.1,-0.22
16-08-2023,KELSEY DEVELOPMENTS PLC,KDL.N0000,24,3,1977,47366,0,0
16-08-2023,LAUGFS POWER PLC,LPL.N0000,8.5,15,4250,36025,0,0
16-08-2023,TANGERINE BEACH HOTELS PLC,TANG.N0000,59.3,2,20,1179,0,0
16-08-2023,LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,225,5,115,25878.5,1.25,0.56
16-08-2023,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,209.75,1,10,2120,0,0
16-08-2023,CHEMANEX PLC,CHMX.N0000,91.3,14,2200,198911.2,5.6,6.53
16-08-2023,HARISCHANDRA MILLS PLC,HARI.N0000,4000,2,3,13349.75,0,0
16-08-2023,KEELLS FOOD PRODUCTS PLC,KFP.N0000,185.25,4,30,5490,0,0
16-08-2023,KOTMALE HOLDINGS PLC,LAMB.N0000,410.5,2,11,4562.25,0,0
16-08-2023,LANKA VENTURES PLC,LVEN.N0000,39.2,5,202,7924,0.2,0.51
16-08-2023,TRANS ASIA HOTELS PLC,TRAN.N0000,48,2,100,4800,0,0
16-08-2023,ABANS ELECTRICALS PLC,ABAN.N0000,151.75,1,1,155,0,0
16-08-2023,ABANS FINANCE PLC,AFSL.N0000,24,3,1560,37490,-2,-7.69
,INDO-MALAY PLC,INDO.N0000,,,,,,
,SELINSING PLC,SELI.N0000,,,,,,
,C T HOLDINGS PLC,CTHR.N0000,230,,,,0,0
,SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,15003.5,,,,0,0
